stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,Instructions.started,text.started,key_resp_2.started,Instructions.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key-resp.corr,stair.response,key_resp.rt,Thank_You_.started,text_2.started,text_2.stopped,Thank_You_.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
,,,,,0.0047922,0.0216257,0.0216257,11.1999687,space,11.1542874,None,,,,,,,,,,,,,,,,,2,1,2025-08-30_17h56.25.898,adaptive_staircase,,2025.1.1,60.32778494,2025-08-30 17h56.32.314943 +0530
0,2,10,11.2085967,,,,,,,,,11.2004663,11.2085967,11.7076207,11.7076207,11.7231544,12.0217337,12.2396306,right,10,1,1,0.521126,,,,,2,1,2025-08-30_17h56.25.898,adaptive_staircase,,2025.1.1,60.32778494,2025-08-30 17h56.32.314943 +0530
1,2,8,12.2549229,,,,,,,,,12.2400657,12.2549229,12.7396453,12.7396453,12.7559054,13.054503,13.1403555,right,8,1,1,0.3870792,,,,,2,1,2025-08-30_17h56.25.898,adaptive_staircase,,2025.1.1,60.32778494,2025-08-30 17h56.32.314943 +0530
2,2,6,13.1564255,,,,,,,,,13.1407626,13.1564255,13.6397192,13.6397192,13.6560157,13.9402919,14.0235117,left,-6,1,1,0.3787407,,,,,2,1,2025-08-30_17h56.25.898,adaptive_staircase,,2025.1.1,60.32778494,2025-08-30 17h56.32.314943 +0530
3,2,4,14.0400678,,,,,,,,,14.0239168,14.0400678,14.5234095,14.5234095,14.539266,14.8225906,14.8750451,right,4,1,1,0.3501529,,,,,2,1,2025-08-30_17h56.25.898,adaptive_staircase,,2025.1.1,60.32778494,2025-08-30 17h56.32.314943 +0530
4,1,2,14.8888802,,,,,,,,,14.8754424,14.8888802,15.389208,15.389208,15.389208,15.6891408,15.6899102,left,-2,0,0,0.2985516,,,,,2,1,2025-08-30_17h56.25.898,adaptive_staircase,,2025.1.1,60.32778494,2025-08-30 17h56.32.314943 +0530
5,1,3,15.7062365,,,,,,,,,15.690257,15.7062365,16.2063905,16.2063905,16.2063905,16.5058363,16.6068361,right,3,1,1,0.3855938,,,,,2,1,2025-08-30_17h56.25.898,adaptive_staircase,,2025.1.1,60.32778494,2025-08-30 17h56.32.314943 +0530
6,1,3,16.6222235,,,,,,,,,16.6071525,16.6222235,17.1219454,17.1219454,17.1219454,,17.3736583,right,3,0,0,0.2495029,,,,,2,1,2025-08-30_17h56.25.898,adaptive_staircase,,2025.1.1,60.32778494,2025-08-30 17h56.32.314943 +0530
7,1,4,17.3891689,,,,,,,,,17.3741158,17.3891689,17.8729442,17.8729442,17.8891371,18.1726153,18.2398435,right,4,1,1,0.3528117,,,,,2,1,2025-08-30_17h56.25.898,adaptive_staircase,,2025.1.1,60.32778494,2025-08-30 17h56.32.314943 +0530
8,1,4,18.2558292,,,,,,,,,18.2402589,18.2558292,18.7559106,18.7559106,18.7559106,19.0561625,19.1578606,left,-4,1,1,0.3972309,,,,,2,1,2025-08-30_17h56.25.898,adaptive_staircase,,2025.1.1,60.32778494,2025-08-30 17h56.32.314943 +0530
9,1,4,19.172466,,,,,,,,,19.1582588,19.172466,19.6722598,19.6722598,19.6722598,19.9728042,20.0399468,left,-4,1,1,0.3633567,,,,,2,1,2025-08-30_17h56.25.898,adaptive_staircase,,2025.1.1,60.32778494,2025-08-30 17h56.32.314943 +0530
10,1,3,20.0561968,,,,,,,,,20.0403053,20.0561968,20.5386227,20.5386227,20.5557945,20.8390711,20.8891078,left,-3,1,1,0.3430232,,,,,2,1,2025-08-30_17h56.25.898,adaptive_staircase,,2025.1.1,60.32778494,2025-08-30 17h56.32.314943 +0530
11,1,3,20.9063202,,,,,,,,,20.8894945,20.9063202,21.3892912,21.3892912,21.405273,21.6897019,21.8898849,right,3,1,1,0.4874975,,,,,2,1,2025-08-30_17h56.25.898,adaptive_staircase,,2025.1.1,60.32778494,2025-08-30 17h56.32.314943 +0530
12,1,3,21.9045085,,,,,,,,,21.8902629,21.9045085,22.3886941,22.3886941,22.4045007,22.6891905,22.7726,left,-3,1,1,0.378215,,,,,2,1,2025-08-30_17h56.25.898,adaptive_staircase,,2025.1.1,60.32778494,2025-08-30 17h56.32.314943 +0530
13,1,2,22.7881449,,,,,,,,,22.7729497,22.7881449,23.2723713,23.2723713,23.2889059,23.5733073,23.723808,left,-2,1,1,0.4472061,,,,,2,1,2025-08-30_17h56.25.898,adaptive_staircase,,2025.1.1,60.32778494,2025-08-30 17h56.32.314943 +0530
