delay,freq,condition,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,textbox.text,button.numClicks,button.timesOn,button.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,polygon.started,polygon_2.started,key_resp.started,polygon.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,beep.started,sound_1.started,sound_1.stopped,beep.stopped,response.started,text.started,textbox.started,button.started,response.stopped,trials.textbox.text,trials.button.numClicks,trials.button.timesOn,trials.button.timesOff,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0.7,400,unexp,0,0,0,space,0.8381459999363869,None,250,1,[3.8900119999889284],[3.8900163000216708],0,0,0,2,0.01992640004027635,,0.01644010003656149,0.01992640004027635,1.0090998000232503,1.0090998000232503,1.0258865000214428,1.8790955999866128,space,0.8381459999363869,None,1.8796091999392956,2.592433466638128,2.898276799940504,2.8883445999817923,2.889191700029187,2.898276799940504,2.898276799940504,2.898276799940504,6.788455400033854,250,1,[3.8900119999889284],[3.8900163000216708],1,001,2025-11-13_19h06.34.344,intentional_binding,,2025.1.1,60.09488982599278,2025-11-13 19h06.43.725947 +0530,
0.4,1000,exp,1,1,0,space,1.8142070000758395,None,500,1,[5.222993399947882],[5.223006299929693],0,1,1,7,6.790920199942775,,6.788637700024992,6.790920199942775,7.7925382000394166,7.7925382000394166,7.7925382000394166,9.609555899980478,space,1.8142070000758395,None,9.611330299987458,10.008840466678764,10.321305399993435,10.310002699960023,10.310468600015156,10.321305399993435,10.321305399993435,10.321305399993435,15.544615800026804,500,1,[5.222993399947882],[5.223006299929693],1,001,2025-11-13_19h06.34.344,intentional_binding,,2025.1.1,60.09488982599278,2025-11-13 19h06.43.725947 +0530,
0.4,1000,exp,2,2,0,space,1.793136400054209,None,350,1,[3.5256350999698043],[3.525649099959992],0,2,2,4,15.558699800050817,,15.544910699944012,15.558699800050817,16.5587296000449,16.5587296000449,16.5587296000449,18.359762700041756,space,1.793136400054209,None,18.36077050003223,18.775417666711533,19.08338059997186,19.071913399966434,19.07242410001345,19.08338059997186,19.08338059997186,19.08338059997186,22.609376900014468,350,1,[3.5256350999698043],[3.525649099959992],1,001,2025-11-13_19h06.34.344,intentional_binding,,2025.1.1,60.09488982599278,2025-11-13 19h06.43.725947 +0530,
0.1,1000,exp,3,3,0,space,0.6133481999859214,None,300,1,[2.357799700112082],[2.3578066000482067],0,3,3,9,22.62539519998245,,22.609643299947493,22.62539519998245,23.62523190001957,23.62523190001957,23.62523190001957,24.24242789996788,space,0.6133481999859214,None,24.24340979999397,24.34168976667958,24.65171719994396,24.638581500039436,24.639842999982648,24.65171719994396,24.65171719994396,24.65171719994396,27.00977350003086,300,1,[2.357799700112082],[2.3578066000482067],1,001,2025-11-13_19h06.34.344,intentional_binding,,2025.1.1,60.09488982599278,2025-11-13 19h06.43.725947 +0530,
0.1,1000,exp,4,4,0,space,0.44378600001800805,None,400,1,[2.7061022999696434],[2.7061188999796286],0,4,4,3,27.024782499996945,,27.009969100006856,27.024782499996945,28.02453269995749,28.02453269995749,28.02453269995749,28.47492389997933,space,0.44378600001800805,None,28.47563490003813,28.574265966719636,28.887971900054254,28.8767177000409,28.87719280004967,28.887971900054254,28.887971900054254,28.887971900054254,31.594522399944253,400,1,[2.7061022999696434],[2.7061188999796286],1,001,2025-11-13_19h06.34.344,intentional_binding,,2025.1.1,60.09488982599278,2025-11-13 19h06.43.725947 +0530,
0.7,1000,exp,5,5,0,space,0.8896022000117227,None,600,1,[2.1658285999437794],[2.1658420999301597],0,5,5,8,31.607968299998902,,31.594860999961384,31.607968299998902,32.607429199968465,32.607429199968465,32.607429199968465,33.50953659997322,space,0.8896022000117227,None,33.51092659996357,34.224230366704674,34.52586819999851,34.51843289996032,34.518827000050806,34.52586819999851,34.52586819999851,34.52586819999851,36.692146499990486,600,1,[2.1658285999437794],[2.1658420999301597],1,001,2025-11-13_19h06.34.344,intentional_binding,,2025.1.1,60.09488982599278,2025-11-13 19h06.43.725947 +0530,
0.4,1000,exp,6,6,0,space,0.3390542999841273,None,650,1,[3.6403988000238314],[3.6404218000825495],0,6,6,10,36.70807379996404,,36.6925096999621,36.70807379996404,37.707490899949335,37.707490899949335,37.707490899949335,38.05807669996284,space,0.3390542999841273,None,38.05913720000535,38.457499266664186,38.76793800003361,38.757439699955285,38.757936600013636,38.76793800003361,38.76793800003361,38.76793800003361,42.408920599962585,650,1,[3.6403988000238314],[3.6404218000825495],1,001,2025-11-13_19h06.34.344,intentional_binding,,2025.1.1,60.09488982599278,2025-11-13 19h06.43.725947 +0530,
0.1,1000,exp,7,7,0,space,0.7460240999935195,None,700,1,[2.863714099978097],[2.8637271999614313],0,7,7,6,42.424322100006975,,42.4093555000145,42.424322100006975,43.424643700011075,43.424643700011075,43.424643700011075,44.17438920005225,space,0.7460240999935195,None,44.17569699999876,44.27382636670178,44.58058389998041,44.56945419998374,44.57000439998228,44.58058389998041,44.58058389998041,44.58058389998041,47.44503469998017,700,1,[2.863714099978097],[2.8637271999614313],1,001,2025-11-13_19h06.34.344,intentional_binding,,2025.1.1,60.09488982599278,2025-11-13 19h06.43.725947 +0530,
0.4,400,unexp,8,8,0,space,0.29512839997187257,None,200,1,[3.861945700016804],[3.8619564999826252],0,8,8,1,47.45718789997045,,47.445370299974456,47.45718789997045,48.457087100017816,48.457087100017816,48.457087100017816,48.758135100011714,space,0.29512839997187257,None,48.75913659995422,49.173661866636635,49.47939700004645,49.46866090002004,49.4693174000131,49.47939700004645,49.47939700004645,49.47939700004645,53.34173640003428,200,1,[3.861945700016804],[3.8619564999826252],1,001,2025-11-13_19h06.34.344,intentional_binding,,2025.1.1,60.09488982599278,2025-11-13 19h06.43.725947 +0530,
0.7,1000,exp,9,9,0,space,1.0798084000125527,None,350,1,[1.6286017999518663],[1.628620299976319],0,9,9,11,53.356408299994655,,53.34202650003135,53.356408299994655,54.356721900054254,54.356721900054254,54.356721900054254,55.440131500014104,space,1.0798084000125527,None,55.44080199999735,56.13986006664733,56.44539620005526,56.4387309999438,56.4390340000391,56.44539620005526,56.44539620005526,56.44539620005526,58.074814899940975,350,1,[1.6286017999518663],[1.628620299976319],1,001,2025-11-13_19h06.34.344,intentional_binding,,2025.1.1,60.09488982599278,2025-11-13 19h06.43.725947 +0530,
0.1,400,unexp,10,10,0,space,1.5389156000455841,None,150,1,[3.8198826001025736],[3.819891400053166],0,10,10,0,58.08963679999579,,58.07527300005313,58.08963679999579,59.08976620004978,59.08976620004978,59.08976620004978,60.640790799981914,space,1.5389156000455841,None,60.6417669999646,60.755916866652356,61.071149199968204,61.05989130004309,61.06043209997006,61.071149199968204,61.071149199968204,61.071149199968204,64.89126539998688,150,1,[3.8198826001025736],[3.819891400053166],1,001,2025-11-13_19h06.34.344,intentional_binding,,2025.1.1,60.09488982599278,2025-11-13 19h06.43.725947 +0530,
0.7,1000,exp,11,11,0,space,1.1611003999132663,None,500,1,[1.9269156000809744],[1.9269483999814838],0,11,11,5,64.90604449994862,,64.89147240004968,64.90604449994862,65.90637910005171,65.90637910005171,65.90637910005171,67.07348130003083,space,1.1611003999132663,None,67.07493640005123,67.77286836662485,68.0839439999545,68.07124800002202,68.07182670000475,68.0839439999545,68.0839439999545,68.0839439999545,70.01177300000563,500,1,[1.9269156000809744],[1.9269483999814838],1,001,2025-11-13_19h06.34.344,intentional_binding,,2025.1.1,60.09488982599278,2025-11-13 19h06.43.725947 +0530,
0.1,400,unexp,12,0,1,space,0.6414279999444261,None,600,1,[2.0175820000004023],[2.017605600063689],1,0,12,0,70.02303339994978,,70.01262980001047,70.02303339994978,71.02273890003562,71.02273890003562,71.02273890003562,71.67374939995352,space,0.6414279999444261,None,71.67564659996424,71.78936246660693,72.1086938000517,72.08627009997144,72.08707090001553,72.1086938000517,72.1086938000517,72.1086938000517,74.12719689996447,600,1,[2.0175820000004023],[2.017605600063689],1,001,2025-11-13_19h06.34.344,intentional_binding,,2025.1.1,60.09488982599278,2025-11-13 19h06.43.725947 +0530,
0.4,1000,exp,13,1,1,space,0.48051389993634075,None,500,1,[1.8101409999653697],[1.8101746999891475],1,1,13,4,74.13868089998141,,74.12786430004053,74.13868089998141,75.13920390000567,75.13920390000567,75.13920390000567,75.6222787000006,space,0.48051389993634075,None,75.62283899995964,76.02178906667201,76.32972429995425,76.31897030002438,76.31936319998931,76.32972429995425,76.32972429995425,76.32972429995425,78.14089939999394,500,1,[1.8101409999653697],[1.8101746999891475],1,001,2025-11-13_19h06.34.344,intentional_binding,,2025.1.1,60.09488982599278,2025-11-13 19h06.43.725947 +0530,
0.7,400,unexp,14,2,1,space,0.30556719994638115,None,560,1,[2.344678399967961],[2.3447000000160187],1,2,14,2,78.15532869996969,,78.14134049997665,78.15532869996969,79.1552125000162,79.1552125000162,79.1552125000162,79.47226900001988,space,0.30556719994638115,None,79.47274250001647,80.17180496669995,80.47794779995456,80.4654149999842,80.46602149994578,80.47794779995456,80.47794779995456,80.47794779995456,82.82312820001971,560,1,[2.344678399967961],[2.3447000000160187],1,001,2025-11-13_19h06.34.344,intentional_binding,,2025.1.1,60.09488982599278,2025-11-13 19h06.43.725947 +0530,
0.7,1000,exp,15,3,1,space,1.4333423000061885,None,400,1,[5.76369789999444],[5.763712200103328],1,3,15,11,82.83847760001663,,82.82352360000368,82.83847760001663,83.83850359998178,83.83850359998178,83.83850359998178,85.28938640002161,space,1.4333423000061885,None,85.29081659996882,86.0049969666327,86.30953520000912,86.30225800001062,86.30261919996701,86.30953520000912,86.30953520000912,86.30953520000912,92.07357669994235,400,1,[5.76369789999444],[5.763712200103328],1,001,2025-11-13_19h06.34.344,intentional_binding,,2025.1.1,60.09488982599278,2025-11-13 19h06.43.725947 +0530,
0.7,1000,exp,16,4,1,space,2.008911899989471,None,550,1,[2.974612000049092],[2.97462260001339],1,4,16,8,92.08795119996648,,92.07382099993993,92.08795119996648,93.0877244999865,93.0877244999865,93.0877244999865,95.1048733999487,space,2.008911899989471,None,95.10532540001441,95.80411986663627,96.11326320003718,96.10138250002638,96.1018753000535,96.11326320003718,96.11326320003718,96.11326320003718,99.08819769998081,550,1,[2.974612000049092],[2.97462260001339],1,001,2025-11-13_19h06.34.344,intentional_binding,,2025.1.1,60.09488982599278,2025-11-13 19h06.43.725947 +0530,
0.4,1000,exp,17,5,1,space,1.3148036999627948,None,450,1,[2.026381100062281],[2.026391400024295],1,5,17,10,99.10418180003762,,99.08857629995327,99.10418180003762,100.08732209994923,100.08732209994923,100.10400880000088,101.40464339999016,space,1.3148036999627948,None,101.40512759995181,101.80416606663881,102.1129136000527,102.10213500005193,102.10248749994207,102.1129136000527,102.1129136000527,102.1129136000527,104.13963260001037,450,1,[2.026381100062281],[2.026391400024295],1,001,2025-11-13_19h06.34.344,intentional_binding,,2025.1.1,60.09488982599278,2025-11-13 19h06.43.725947 +0530,
0.1,1000,exp,18,6,1,space,0.5514794000191614,None,500,1,[1.906065099989064],[1.906075100065209],1,6,18,6,104.15481079998426,,104.1398831999395,104.15481079998426,105.15443720004987,105.15443720004987,105.15443720004987,105.7218916999409,space,0.5514794000191614,None,105.72303049999755,105.8378649666595,106.14964399999008,106.13750219997019,106.13846889999695,106.14964399999008,106.14964399999008,106.14964399999008,108.05602619994897,500,1,[1.906065099989064],[1.906075100065209],1,001,2025-11-13_19h06.34.344,intentional_binding,,2025.1.1,60.09488982599278,2025-11-13 19h06.43.725947 +0530,
0.4,400,unexp,19,7,1,space,1.5869761999929324,None,250,1,[2.6582787999650463],[2.658292300067842],1,7,19,1,108.07079979998525,,108.05626280000433,108.07079979998525,109.07033360004425,109.07033360004425,109.07033360004425,110.67104289995041,space,1.5869761999929324,None,110.6724742000224,111.0708914666359,111.38231230003294,111.3707199000055,111.37141280004289,111.38231230003294,111.38231230003294,111.38231230003294,114.04099350003526,250,1,[2.6582787999650463],[2.658292300067842],1,001,2025-11-13_19h06.34.344,intentional_binding,,2025.1.1,60.09488982599278,2025-11-13 19h06.43.725947 +0530,
0.1,1000,exp,20,8,1,space,1.4972233000444248,None,400,1,[2.0223116000415757],[2.0223236000165343],1,8,20,9,114.05406670004595,,114.04134620004334,114.05406670004595,115.05419950000942,115.05419950000942,115.05419950000942,116.55518869997468,space,1.4972233000444248,None,116.55654430005234,116.67047716671756,116.98166719998699,116.96858800004702,116.96942340000533,116.98166719998699,116.98166719998699,116.98166719998699,119.00443730002735,400,1,[2.0223116000415757],[2.0223236000165343],1,001,2025-11-13_19h06.34.344,intentional_binding,,2025.1.1,60.09488982599278,2025-11-13 19h06.43.725947 +0530,
0.1,1000,exp,21,9,1,space,1.2025584001094103,None,350,1,[2.1572474000276998],[2.1572610000148416],1,9,21,3,119.0203601999674,,119.00481780001428,119.0203601999674,120.02044190000743,120.02044190000743,120.02044190000743,121.23772299999837,space,1.2025584001094103,None,121.23879049997777,121.3368155667015,121.64940260001458,121.63676130003296,121.637423499953,121.64940260001458,121.64940260001458,121.64940260001458,123.80705059994943,350,1,[2.1572474000276998],[2.1572610000148416],1,001,2025-11-13_19h06.34.344,intentional_binding,,2025.1.1,60.09488982599278,2025-11-13 19h06.43.725947 +0530,
0.7,1000,exp,22,10,1,space,1.2793799999635667,None,350,1,[4.942358199972659],[4.942374199978076],1,10,22,5,123.82016769994516,,123.80740589997731,123.82016769994516,124.81963679997716,124.81963679997716,124.81963679997716,126.10411399998702,space,1.2793799999635667,None,126.10569320002105,126.80377116665865,127.11142560001463,127.09905089996755,127.09961489995476,127.11142560001463,127.11142560001463,127.11142560001463,132.0543424000498,350,1,[4.942358199972659],[4.942374199978076],1,001,2025-11-13_19h06.34.344,intentional_binding,,2025.1.1,60.09488982599278,2025-11-13 19h06.43.725947 +0530,
0.4,1000,exp,23,11,1,space,0.960482900030911,None,400,1,[2.176130500040017],[2.176144600030966],1,11,23,7,132.06985309999436,,132.05501879996154,132.06985309999436,133.06971479998901,133.06971479998901,133.06971479998901,134.03773580002598,space,0.960482900030911,None,134.0391232999973,134.45282156666897,134.76074459997471,134.74827490001917,134.74898080003913,134.76074459997471,134.76074459997471,134.76074459997471,136.93732180004008,400,1,[2.176130500040017],[2.176144600030966],1,001,2025-11-13_19h06.34.344,intentional_binding,,2025.1.1,60.09488982599278,2025-11-13 19h06.43.725947 +0530,
0.4,1000,exp,24,0,2,space,0.4882058999501169,None,350,1,[3.0415861998917535],[3.041599399992265],2,0,24,7,136.95298870000988,,136.93780239997432,136.95298870000988,137.95232130005024,137.95232130005024,137.95232130005024,138.45357060001697,space,0.4882058999501169,None,138.45493590005208,138.8534493666996,139.1650047999574,139.15212710003834,139.15292060002685,139.1650047999574,139.1650047999574,139.1650047999574,142.2069811000256,350,1,[3.0415861998917535],[3.041599399992265],1,001,2025-11-13_19h06.34.344,intentional_binding,,2025.1.1,60.09488982599278,2025-11-13 19h06.43.725947 +0530,
0.1,1000,exp,25,1,2,space,1.9151462999871,None,200,1,[4.008872999926098],[4.00888350000605],2,1,25,3,142.21916980005335,,142.20731500000693,142.21916980005335,143.2193223000504,143.2193223000504,143.2193223000504,145.13710980000906,space,1.9151462999871,None,145.13848329999018,145.251904966721,145.56264010001905,145.54843219998293,145.5492033000337,145.56264010001905,145.56264010001905,145.56264010001905,149.5718645999441,200,1,[4.008872999926098],[4.00888350000605],1,001,2025-11-13_19h06.34.344,intentional_binding,,2025.1.1,60.09488982599278,2025-11-13 19h06.43.725947 +0530,
0.7,1000,exp,26,2,2,space,0.45030730008147657,None,250,1,[5.210030999965966],[5.210046199965291],2,2,26,8,149.58542629994918,,149.57214419997763,149.58542629994918,150.58550579997245,150.58550579997245,150.58550579997245,151.05271930003073,space,0.45030730008147657,None,151.05386179999914,151.75225006667122,152.05894300004002,152.04775110003538,152.04840860003605,152.05894300004002,152.05894300004002,152.05894300004002,157.26942709996365,250,1,[5.210030999965966],[5.210046199965291],1,001,2025-11-13_19h06.34.344,intentional_binding,,2025.1.1,60.09488982599278,2025-11-13 19h06.43.725947 +0530,
0.1,400,unexp,27,3,2,space,0.7325467000482604,None,500,1,[4.162518700002693],[4.162532199989073],2,3,27,0,157.28495710005518,,157.2698050000472,157.28495710005518,158.28502329997718,158.28502329997718,158.28502329997718,159.03625190001912,space,0.7325467000482604,None,159.03736399998888,159.1512257666948,159.4581140000373,159.4467478999868,159.4474187999731,159.4581140000373,159.4581140000373,159.4581140000373,163.6209912999766,500,1,[4.162518700002693],[4.162532199989073],1,001,2025-11-13_19h06.34.344,intentional_binding,,2025.1.1,60.09488982599278,2025-11-13 19h06.43.725947 +0530,
0.4,1000,exp,28,4,2,space,2.420494799967855,None,500,1,[1.3589971999172121],[1.3590146999340504],2,4,28,4,163.6353095000377,,163.6213020000141,163.6353095000377,164.63489480002318,164.63489480002318,164.63489480002318,167.06866099999752,space,2.420494799967855,None,167.06979099998716,167.4842541666624,167.792638599989,167.78011439996772,167.78084809996653,167.792638599989,167.792638599989,167.792638599989,169.15203889994882,500,1,[1.3589971999172121],[1.3590146999340504],1,001,2025-11-13_19h06.34.344,intentional_binding,,2025.1.1,60.09488982599278,2025-11-13 19h06.43.725947 +0530,
0.7,1000,exp,29,5,2,space,1.094977599917911,None,250,1,[2.367704699980095],[2.3677212999900803],2,5,29,11,169.16753119998612,,169.15239750000183,169.16753119998612,170.15122949995566,170.15122949995566,170.16750109998975,171.25195900001563,space,1.094977599917911,None,171.2531468999805,171.95129886671592,172.26803589996416,172.2498858999461,172.25192660000175,172.26803589996416,172.26803589996416,172.26803589996416,174.63625340000726,250,1,[2.367704699980095],[2.3677212999900803],1,001,2025-11-13_19h06.34.344,intentional_binding,,2025.1.1,60.09488982599278,2025-11-13 19h06.43.725947 +0530,
