stimulus,type,correct_key,thisN,thisTrialN,thisRepN,resp.keys,resp.corr,resp.rt,resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instructions.started,fixation.started,text.started,key_resp.started,fixation.stopped,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,fix.started,stim.started,resp.started,fix.stopped,trial.stopped,trials.resp.keys,trials.resp.corr,trials.resp.rt,trials.resp.duration,Thank_you.started,text_2.started,text_2.stopped,Thank_you.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
window,word,z,0,0,0,z,1,3.0266122,None,0,0,0,2,2.9420771,,0.0027447,0.008569,0.5067066,0.5067066,0.5230191,2.9276461,space,2.4014879,None,,,,,,,,,,,,,,,1,1,2025-11-19_23h33.36.923,lexical_decision,,2025.1.1,59.97943905,2025-11-19 23h33.40.863575 +0530
plome,nonword,m,1,1,0,z,0,1.0187689,None,0,1,1,12,6.4889812,,,,,,,,,,,2.9366465,2.9420771,3.4394787,3.4394787,3.45634,6.4726081,z,1,3.0266122,None,,,,,1,1,2025-11-19_23h33.36.923,lexical_decision,,2025.1.1,59.97943905,2025-11-19 23h33.40.863575 +0530
market,word,z,2,2,0,z,1,0.5569998,None,0,2,2,5,8.022595,,,,,,,,,,,6.4753388,6.4889812,6.972423,6.972423,6.9897016,8.0065154,z,0,1.0187689,None,,,,,1,1,2025-11-19_23h33.36.923,lexical_decision,,2025.1.1,59.97943905,2025-11-19 23h33.40.863575 +0530
yellow,word,z,3,3,0,z,1,0.5153515,None,0,3,3,4,9.0890694,,,,,,,,,,,8.0093831,8.022595,8.5062296,8.5062296,8.5228337,9.0724751,z,1,0.5569998,None,,,,,1,1,2025-11-19_23h33.36.923,lexical_decision,,2025.1.1,59.97943905,2025-11-19 23h33.40.863575 +0530
trallip,nonword,m,4,4,0,z,0,0.7627395,None,0,4,4,18,10.1058372,,,,,,,,,,,9.0740935,9.0890694,9.5724222,9.5724222,9.5895057,10.0900398,z,1,0.5153515,None,,,,,1,1,2025-11-19_23h33.36.923,lexical_decision,,2025.1.1,59.97943905,2025-11-19 23h33.40.863575 +0530
silver,word,z,5,5,0,z,1,0.7362245,None,0,5,5,9,11.3721561,,,,,,,,,,,10.0935368,10.1058372,10.5892567,10.5892567,10.6059937,11.3559889,z,0,0.7627395,None,,,,,1,1,2025-11-19_23h33.36.923,lexical_decision,,2025.1.1,59.97943905,2025-11-19 23h33.40.863575 +0530
smode,nonword,m,6,6,0,m,1,1.7696833,None,0,6,6,17,12.622158,,,,,,,,,,,11.3588434,11.3721561,11.8559696,11.8559696,11.872529,12.6060717,z,1,0.7362245,None,,,,,1,1,2025-11-19_23h33.36.923,lexical_decision,,2025.1.1,59.97943905,2025-11-19 23h33.40.863575 +0530
drent,nonword,m,7,7,0,m,1,1.0215682,None,0,7,7,11,14.9059071,,,,,,,,,,,12.6084484,12.622158,13.1058448,13.1058448,13.1225782,14.8899561,m,1,1.7696833,None,,,,,1,1,2025-11-19_23h33.36.923,lexical_decision,,2025.1.1,59.97943905,2025-11-19 23h33.40.863575 +0530
apple,word,z,8,8,0,z,1,0.5657545,None,0,8,8,0,16.455493,,,,,,,,,,,14.8938088,14.9059071,15.4054455,15.4054455,15.4054455,16.4392741,m,1,1.0215682,None,,,,,1,1,2025-11-19_23h33.36.923,lexical_decision,,2025.1.1,59.97943905,2025-11-19 23h33.40.863575 +0530
bottle,word,z,9,9,0,z,1,0.5162504,None,0,9,9,6,17.5390109,,,,,,,,,,,16.4415943,16.455493,16.9391802,16.9391802,16.9554334,17.5225874,z,1,0.5657545,None,,,,,1,1,2025-11-19_23h33.36.923,lexical_decision,,2025.1.1,59.97943905,2025-11-19 23h33.40.863575 +0530
