thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instructions_.started,text.started,key_resp_2.started,Instructions_.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,fixation.started,fixation.stopped,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials.tilt,Thank_you_.started,text_2.started,text_2.stopped,Thank_you_.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
,,,,,,,,,,,,,,0.0026202,0.0071902,0.0071902,17.168606,space,17.087988,None,,,,,,,,,,,,,,,1,1,2025-09-09_16h17.02.501,orient_discrimination,,2025.1.1,60.04696871,2025-09-09 16h17.24.217771 +0530
0,0,0,down,1,0.8980288,None,1,0,0,0,0,17.1738323,,,,,,,,,17.1698262,17.1738323,18.1810784,18.1810784,19.0814583,down,1,0.8980288,None,1,,,,,1,1,2025-09-09_16h17.02.501,orient_discrimination,,2025.1.1,60.04696871,2025-09-09 16h17.24.217771 +0530
1,0,1,down,1,0.8049889,None,1,1,0,1,0,19.0978888,,,,,,,,,19.0817771,19.0978888,20.0982166,20.0814502,20.8983557,down,1,0.8049889,None,1,,,,,1,1,2025-09-09_16h17.02.501,orient_discrimination,,2025.1.1,60.04696871,2025-09-09 16h17.24.217771 +0530
2,0,2,up,0,0.8766793,None,-2,2,0,2,0,20.9146109,,,,,,,,,20.898594,20.9146109,21.9146854,21.8979993,22.7816532,up,0,0.8766793,None,-2,,,,,1,1,2025-09-09_16h17.02.501,orient_discrimination,,2025.1.1,60.04696871,2025-09-09 16h17.24.217771 +0530
3,0,3,up,1,0.4896537,None,0,3,0,3,0,22.7979127,,,,,,,,,22.7818288,22.7979127,23.7978109,23.7811119,24.281185,up,1,0.4896537,None,0,,,,,1,1,2025-09-09_16h17.02.501,orient_discrimination,,2025.1.1,60.04696871,2025-09-09 16h17.24.217771 +0530
4,0,4,up,1,3.4569107,None,0,4,0,4,0,24.2975796,,,,,,,,,24.2813777,24.2975796,25.2977999,25.2810055,28.747678,up,1,3.4569107,None,0,,,,,1,1,2025-09-09_16h17.02.501,orient_discrimination,,2025.1.1,60.04696871,2025-09-09 16h17.24.217771 +0530
5,0,5,down,1,0.8347821,None,2,5,0,5,0,28.7643789,,,,,,,,,28.7480077,28.7643789,29.7640867,29.747534,30.5976085,down,1,0.8347821,None,2,,,,,1,1,2025-09-09_16h17.02.501,orient_discrimination,,2025.1.1,60.04696871,2025-09-09 16h17.24.217771 +0530
6,0,6,down,1,0.6763993,None,-5,6,0,6,0,30.6138843,,,,,,,,,30.597812,30.6138843,31.6140899,31.5975224,32.2808049,down,1,0.6763993,None,-5,,,,,1,1,2025-09-09_16h17.02.501,orient_discrimination,,2025.1.1,60.04696871,2025-09-09 16h17.24.217771 +0530
7,0,7,up,1,0.6040742,None,0,7,0,7,0,32.2975183,,,,,,,,,32.2809732,32.2975183,33.2975405,33.2806531,33.8974835,up,1,0.6040742,None,0,,,,,1,1,2025-09-09_16h17.02.501,orient_discrimination,,2025.1.1,60.04696871,2025-09-09 16h17.24.217771 +0530
8,0,8,down,1,0.6036621,None,-2,8,0,8,0,33.9138475,,,,,,,,,33.8976888,33.9138475,34.9138374,34.897182,35.5141303,down,1,0.6036621,None,-2,,,,,1,1,2025-09-09_16h17.02.501,orient_discrimination,,2025.1.1,60.04696871,2025-09-09 16h17.24.217771 +0530
9,0,9,up,1,1.0431935,None,0,9,0,9,0,35.5304752,,,,,,,,,35.5143815,35.5304752,36.5307215,36.5138333,37.5638533,up,1,1.0431935,None,0,,,,,1,1,2025-09-09_16h17.02.501,orient_discrimination,,2025.1.1,60.04696871,2025-09-09 16h17.24.217771 +0530
10,0,10,down,1,0.5327334,None,4,10,0,10,0,37.580209,,,,,,,,,37.5641584,37.580209,38.5805341,38.5638048,39.1158457,down,1,0.5327334,None,4,,,,,1,1,2025-09-09_16h17.02.501,orient_discrimination,,2025.1.1,60.04696871,2025-09-09 16h17.24.217771 +0530
11,0,11,down,1,0.4905189,None,4,11,0,11,0,39.1302446,,,,,,,,,39.1161249,39.1302446,40.1304663,40.1304663,40.6303926,down,1,0.4905189,None,4,,,,,1,1,2025-09-09_16h17.02.501,orient_discrimination,,2025.1.1,60.04696871,2025-09-09 16h17.24.217771 +0530
12,0,12,up,1,0.6792596,None,0,12,0,12,0,40.6470265,,,,,,,,,40.6305781,40.6470265,41.6470155,41.6306561,42.3139176,up,1,0.6792596,None,0,,,,,1,1,2025-09-09_16h17.02.501,orient_discrimination,,2025.1.1,60.04696871,2025-09-09 16h17.24.217771 +0530
13,0,13,down,0,1.0607856,None,0,13,0,13,0,42.3301603,,,,,,,,,42.314108,42.3301603,43.3299125,43.3134335,44.3801304,down,0,1.0607856,None,0,,,,,1,1,2025-09-09_16h17.02.501,orient_discrimination,,2025.1.1,60.04696871,2025-09-09 16h17.24.217771 +0530
14,0,14,up,1,0.5231601,None,0,14,0,14,0,44.3966346,,,,,,,,,44.3802917,44.3966346,45.3967309,45.3800974,45.913505,up,1,0.5231601,None,0,,,,,1,1,2025-09-09_16h17.02.501,orient_discrimination,,2025.1.1,60.04696871,2025-09-09 16h17.24.217771 +0530
15,0,15,down,1,0.8066444,None,1,15,0,15,0,45.9299028,,,,,,,,,45.9137059,45.9299028,46.9297347,46.9130814,47.7301052,down,1,0.8066444,None,1,,,,,1,1,2025-09-09_16h17.02.501,orient_discrimination,,2025.1.1,60.04696871,2025-09-09 16h17.24.217771 +0530
16,0,16,up,1,0.6460305,None,0,16,0,16,0,47.746458,,,,,,,,,47.7302771,47.746458,48.7465085,48.7300279,49.3801277,up,1,0.6460305,None,0,,,,,1,1,2025-09-09_16h17.02.501,orient_discrimination,,2025.1.1,60.04696871,2025-09-09 16h17.24.217771 +0530
