Study_word,thisN,thisTrialN,thisRepN,Studyslider.response,Studyslider.rt,test_word,Reference,old_new,test_textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,Studytext.started,Studyslider.started,trial.stopped,trials.Studyslider.response,trials.Studyslider.rt,test.started,TestText.started,test_textbox.started,submit_text.started,testmouse.started,test.stopped,trials_2.test_textbox.text,trials_2.testmouse.x,trials_2.testmouse.y,trials_2.testmouse.leftButton,trials_2.testmouse.midButton,trials_2.testmouse.rightButton,trials_2.testmouse.time,trials_2.testmouse.clicked_name,TestText.stopped,test_textbox.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
marble,0,0,0,2.0033333333333334,1.7782274000055622,,,,,,,,,,,,0,0,0,3,,,,,0.022229399997740984,,0.014380300010088831,0.022229399997740984,0.022229399997740984,1.8081260999897495,2.0033333333333334,1.7782274000055622,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
T-shirt,1,1,0,2.0233333333333334,1.34667040000204,,,,,,,,,,,,0,1,1,7,,,,,1.8244566000066698,,1.8137989999959245,1.8244566000066698,1.8244566000066698,3.1751692999969237,2.0233333333333334,1.34667040000204,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
Pastry,2,2,0,2.0166666666666666,0.4976318000117317,,,,,,,,,,,,0,2,2,9,,,,,3.1906656000064686,,3.1798733999894466,3.1906656000064686,3.1906656000064686,3.6914288999978453,2.0166666666666666,0.4976318000117317,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
Case,3,3,0,3.04,1.248545100010233,,,,,,,,,,,,0,3,3,10,,,,,3.707371800002875,,3.69362929998897,3.707371800002875,3.707371800002875,4.958393600012641,3.04,1.248545100010233,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
book,4,4,0,2.0733333333333333,0.7314916999894194,,,,,,,,,,,,0,4,4,0,,,,,4.973962599993683,,4.960324200015748,4.973962599993683,4.973962599993683,5.7091700000164565,2.0733333333333333,0.7314916999894194,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
phone,5,5,0,2.9333333333333336,1.02495479999925,,,,,,,,,,,,0,5,5,2,,,,,5.723843100015074,,5.716550000011921,5.723843100015074,5.723843100015074,6.7589040999882855,2.9333333333333336,1.02495479999925,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
Cruise,6,6,0,3.96,0.6321288999752142,,,,,,,,,,,,0,6,6,11,,,,,6.773672500014072,,6.761240399995586,6.773672500014072,6.773672500014072,7.407957699993858,3.96,0.6321288999752142,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
Police,7,7,0,1.9866666666666666,0.8814911000081338,,,,,,,,,,,,0,7,7,12,,,,,7.423811999993632,,7.410021999996388,7.423811999993632,7.423811999993632,8.307697400014149,1.9866666666666666,0.8814911000081338,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
Laptop,8,8,0,1.98,1.2636005000094883,,,,,,,,,,,,0,8,8,5,,,,,8.323666000011144,,8.312057100003585,8.323666000011144,8.323666000011144,9.591746599995531,1.98,1.2636005000094883,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
Poster,9,9,0,1.98,0.19914589999825694,,,,,,,,,,,,0,9,9,14,,,,,9.608113800000865,,9.594423200003803,9.608113800000865,9.608113800000865,9.807656399992993,1.98,0.19914589999825694,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
Keys,10,10,0,1.98,0.580972900002962,,,,,,,,,,,,0,10,10,13,,,,,9.824141399993096,,9.811220700008562,9.824141399993096,9.824141399993096,10.407997500005877,1.98,0.580972900002962,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
cushion,11,11,0,1.98,0.1645886000187602,,,,,,,,,,,,0,11,11,1,,,,,10.423379300016677,,10.412096599990036,10.423379300016677,10.423379300016677,10.591039099992486,1.98,0.1645886000187602,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
Chart,12,12,0,1,0.8825787999958266,,,,,,,,,,,,0,12,12,6,,,,,10.6070475000015,,10.593507100013085,10.6070475000015,10.6070475000015,11.491037200001301,1,0.8825787999958266,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
mouse,13,13,0,2.04,0.6340735000267159,,,,,,,,,,,,0,13,13,8,,,,,11.506781300005969,,11.493206999992253,11.506781300005969,11.506781300005969,12.14132540000719,2.04,0.6340735000267159,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
board,14,14,0,1,0.5294124000065494,,,,,,,,,,,,0,14,14,4,,,,,12.15722699998878,,12.147834500006866,12.15722699998878,12.15722699998878,12.692031999991741,1,0.5294124000065494,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
