word,colour,stim_condition,correct_res,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instruction.started,text_2.started,text_2.stopped,instruction.stopped,trial.started,fixation.started,fixation.stopped,text.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,thanks.started,text_3.started,text_3.stopped,thanks.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,,,
RED,red,C,r,0,0,0,r,1,0.4625195,None,0,0,0,0,2.0098624,,,,,,2.0061564,2.0098624,2.5100139,2.5100139,2.5100139,2.9818721,r,1,0.4625195,None,,,,,1,1,2025-08-21_17h31.06.419,stroop,,2025.1.1,60.05555137,2025-08-21 17h31.11.931362 +0530,,,
BLUE,blue,C,b,1,1,0,b,1,0.4505962,None,0,1,1,3,2.9932334,,,,,,2.9866002,2.9932334,3.4933531,3.4933531,3.4933531,3.9603814,b,1,0.4505962,None,,,,,1,1,2025-08-21_17h31.06.419,stroop,,2025.1.1,60.05555137,2025-08-21 17h31.11.931362 +0530,,,
RED,red,C,r,5,1,1,r,1,0.414769,None,1,1,5,0,7.3598487,,,,,,7.3450974,7.3598487,7.843319,7.843319,7.843319,8.2601882,r,1,0.414769,None,,,,,1,1,2025-08-21_17h31.06.419,stroop,,2025.1.1,60.05555137,2025-08-21 17h31.11.931362 +0530,,,
BLUE,blue,C,b,7,3,1,b,1,0.3753962,None,1,3,7,3,9.3097433,,,,,,9.2957465,9.3097433,9.7929811,9.7929811,9.7929811,10.1766677,b,1,0.3753962,None,,,,,1,1,2025-08-21_17h31.06.419,stroop,,2025.1.1,60.05555137,2025-08-21 17h31.11.931362 +0530,,,
RED,red,C,r,8,0,2,r,1,0.4523275,None,2,0,8,0,10.192986,,,,,,10.1782743,10.192986,10.6763057,10.6763057,10.6763057,11.1431397,r,1,0.4523275,None,,,,,1,1,2025-08-21_17h31.06.419,stroop,,2025.1.1,60.05555137,2025-08-21 17h31.11.931362 +0530,,,
BLUE,blue,C,b,10,2,2,b,1,0.5134242,None,2,2,10,3,12.2594945,,,,,,12.2438957,12.2594945,12.7428741,12.7428741,12.7428741,13.260005,b,1,0.5134242,None,,,,,1,1,2025-08-21_17h31.06.419,stroop,,2025.1.1,60.05555137,2025-08-21 17h31.11.931362 +0530,,,
RED,red,C,r,14,2,3,r,1,0.4020141,None,3,2,14,0,16.3425731,,,,,,16.3266715,16.3425731,16.825948,16.825948,16.825948,17.2432595,r,1,0.4020141,None,,,,,1,1,2025-08-21_17h31.06.419,stroop,,2025.1.1,60.05555137,2025-08-21 17h31.11.931362 +0530,,,
BLUE,blue,C,b,15,3,3,b,1,0.5529538,None,3,3,15,3,17.2591937,,,,,,17.2450483,17.2591937,17.7427504,17.7427504,17.7427504,18.3097936,b,1,0.5529538,None,,,,,1,1,2025-08-21_17h31.06.419,stroop,,2025.1.1,60.05555137,2025-08-21 17h31.11.931362 +0530,,,
RED,red,C,r,17,1,4,r,1,0.5906484,None,4,1,17,0,19.6258814,,,,,,19.6114006,19.6258814,20.1099486,20.1099486,20.1099486,20.7098775,r,1,0.5906484,None,,,,,1,1,2025-08-21_17h31.06.419,stroop,,2025.1.1,60.05555137,2025-08-21 17h31.11.931362 +0530,,,
BLUE,blue,C,b,19,3,4,b,1,0.3842533,None,4,3,19,3,22.0454409,,,,,,21.960461,22.0454409,22.4595479,22.4595479,22.4595479,22.9320445,b,1,0.3842533,None,,,,,1,1,2025-08-21_17h31.06.419,stroop,,2025.1.1,60.05555137,2025-08-21 17h31.11.931362 +0530,,,
RED,red,C,r,21,1,5,r,1,0.4380795,None,5,1,21,0,24.0093403,,,,,,23.9950541,24.0093403,24.5092238,24.5092238,24.5092238,24.9601494,r,1,0.4380795,None,,,,,1,1,2025-08-21_17h31.06.419,stroop,,2025.1.1,60.05555137,2025-08-21 17h31.11.931362 +0530,,,
BLUE,blue,C,b,22,2,5,b,1,0.5318405,None,5,2,22,3,24.9760587,,,,,,24.964173,24.9760587,25.4594042,25.4594042,25.4594042,25.9932205,b,1,0.5318405,None,,,,,1,1,2025-08-21_17h31.06.419,stroop,,2025.1.1,60.05555137,2025-08-21 17h31.11.931362 +0530,,,
BLUE,blue,C,b,24,0,6,b,1,0.6205791,None,6,0,24,3,27.0261311,,,,,,27.010745,27.0261311,27.5093683,27.5093683,27.5093683,28.1435848,b,1,0.6205791,None,,,,,1,1,2025-08-21_17h31.06.419,stroop,,2025.1.1,60.05555137,2025-08-21 17h31.11.931362 +0530,,,
RED,red,C,r,25,1,6,r,1,0.4937078,None,6,1,25,0,28.1590587,,,,,,28.1470732,28.1590587,28.6594341,28.6594341,28.6594341,29.1600743,r,1,0.4937078,None,,,,,1,1,2025-08-21_17h31.06.419,stroop,,2025.1.1,60.05555137,2025-08-21 17h31.11.931362 +0530,,,
RED,red,C,r,29,1,7,r,1,0.5814706,None,7,1,29,0,33.0752886,,,,,,33.0639555,33.0752886,33.5595944,33.5595944,33.5595944,34.143134,r,1,0.5814706,None,,,,,1,1,2025-08-21_17h31.06.419,stroop,,2025.1.1,60.05555137,2025-08-21 17h31.11.931362 +0530,,,
BLUE,blue,C,b,31,3,7,b,1,0.8423316,None,7,3,31,3,35.3924238,,,,,,35.3826992,35.3924238,35.8924148,35.8924148,35.8924148,36.7430513,b,1,0.8423316,None,,,,,1,1,2025-08-21_17h31.06.419,stroop,,2025.1.1,60.05555137,2025-08-21 17h31.11.931362 +0530,,,
BLUE,blue,C,b,32,0,8,b,1,0.327993,None,8,0,32,3,36.7591818,,,,,,36.7440499,36.7591818,37.2585153,37.2585153,37.2585153,37.5933967,b,1,0.327993,None,,,,,1,1,2025-08-21_17h31.06.419,stroop,,2025.1.1,60.05555137,2025-08-21 17h31.11.931362 +0530,,,
RED,red,C,r,33,1,8,r,1,0.4783732,None,8,1,33,0,37.6084797,,,,,,37.5976732,37.6084797,38.1091544,38.1091544,38.1091544,38.5929333,r,1,0.4783732,None,,,,,1,1,2025-08-21_17h31.06.419,stroop,,2025.1.1,60.05555137,2025-08-21 17h31.11.931362 +0530,,,
BLUE,blue,C,b,37,1,9,b,1,0.8104011,None,9,1,37,3,41.9426575,,,,,,41.9282903,41.9426575,42.4422819,42.4422819,42.4422819,43.2591207,b,1,0.8104011,None,,,,,1,1,2025-08-21_17h31.06.419,stroop,,2025.1.1,60.05555137,2025-08-21 17h31.11.931362 +0530,,,
RED,red,C,r,38,2,9,r,1,0.4574242,None,9,2,38,0,43.2753998,,,,,,43.2627582,43.2753998,43.7581578,43.7581578,43.7581578,44.2259002,r,1,0.4574242,None,,,,,1,1,2025-08-21_17h31.06.419,stroop,,2025.1.1,60.05555137,2025-08-21 17h31.11.931362 +0530,,,
RED,blue,I,b,2,2,0,b,1,0.8034061,None,0,2,2,1,3.9764777,,,,,,3.9625032,3.9764777,4.4600462,4.4600462,4.4600462,5.276687,b,1,0.8034061,None,,,,,1,1,2025-08-21_17h31.06.419,stroop,,2025.1.1,60.05555137,2025-08-21 17h31.11.931362 +0530,,,
BLUE,red,I,r,3,3,0,r,1,0.6433885,None,0,3,3,2,5.2932906,,,,,,5.2786545,5.2932906,5.7765941,5.7765941,5.7765941,6.4274884,r,1,0.6433885,None,,,,,1,1,2025-08-21_17h31.06.419,stroop,,2025.1.1,60.05555137,2025-08-21 17h31.11.931362 +0530,,,
BLUE,red,I,r,4,0,1,r,1,0.3948321,None,1,0,4,2,6.4432442,,,,,,6.4283902,6.4432442,6.9430069,6.9430069,6.9430069,7.3434137,r,1,0.3948321,None,,,,,1,1,2025-08-21_17h31.06.419,stroop,,2025.1.1,60.05555137,2025-08-21 17h31.11.931362 +0530,,,
RED,blue,I,b,6,2,1,b,1,0.5169731,None,1,2,6,1,8.2763028,,,,,,8.2607007,8.2763028,8.7597579,8.7597579,8.7597579,9.2934943,b,1,0.5169731,None,,,,,1,1,2025-08-21_17h31.06.419,stroop,,2025.1.1,60.05555137,2025-08-21 17h31.11.931362 +0530,,,
BLUE,red,I,r,9,1,2,r,1,0.5986502,None,2,1,9,2,11.1595083,,,,,,11.1458493,11.1595083,11.6429698,11.6429698,11.6429698,12.2433447,r,1,0.5986502,None,,,,,1,1,2025-08-21_17h31.06.419,stroop,,2025.1.1,60.05555137,2025-08-21 17h31.11.931362 +0530,,,
RED,blue,I,b,11,3,2,b,1,0.3588367,None,2,3,11,1,13.2760938,,,,,,13.2625261,13.2760938,13.7595889,13.7595889,13.7595889,14.1265495,b,1,0.3588367,None,,,,,1,1,2025-08-21_17h31.06.419,stroop,,2025.1.1,60.05555137,2025-08-21 17h31.11.931362 +0530,,,
BLUE,red,I,r,12,0,3,b,0,0.56822,None,3,0,12,2,14.142783,,,,,,14.1291295,14.142783,14.6260922,14.6260922,14.6260922,15.209768,b,0,0.56822,None,,,,,1,1,2025-08-21_17h31.06.419,stroop,,2025.1.1,60.05555137,2025-08-21 17h31.11.931362 +0530,,,
RED,blue,I,b,13,1,3,b,1,0.6059447,None,3,1,13,1,15.2259938,,,,,,15.2122009,15.2259938,15.7091764,15.7091764,15.7091764,16.3262052,b,1,0.6059447,None,,,,,1,1,2025-08-21_17h31.06.419,stroop,,2025.1.1,60.05555137,2025-08-21 17h31.11.931362 +0530,,,
RED,blue,I,b,16,0,4,b,1,0.7984456,None,4,0,16,1,18.3262638,,,,,,18.3117069,18.3262638,18.8092263,18.8092263,18.8092263,19.6103708,b,1,0.7984456,None,,,,,1,1,2025-08-21_17h31.06.419,stroop,,2025.1.1,60.05555137,2025-08-21 17h31.11.931362 +0530,,,
BLUE,red,I,r,18,2,4,r,1,0.6680282,None,4,2,18,2,20.7258384,,,,,,20.7158093,20.7258384,21.2098546,21.2098546,21.2098546,21.959626,r,1,0.6680282,None,,,,,1,1,2025-08-21_17h31.06.419,stroop,,2025.1.1,60.05555137,2025-08-21 17h31.11.931362 +0530,,,
RED,blue,I,b,20,0,5,b,1,0.5369353,None,5,0,20,1,23.0583968,,,,,,22.9606762,23.0583968,23.4422366,23.4422366,23.4422366,23.9942717,b,1,0.5369353,None,,,,,1,1,2025-08-21_17h31.06.419,stroop,,2025.1.1,60.05555137,2025-08-21 17h31.11.931362 +0530,,,
