stimulus,type,correct_key,thisN,thisTrialN,thisRepN,resp.keys,resp.corr,resp.rt,resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instructions.started,fixation.started,text.started,key_resp.started,fixation.stopped,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,fix.started,stim.started,resp.started,fix.stopped,trial.stopped,trials.resp.keys,trials.resp.corr,trials.resp.rt,trials.resp.duration,Thank_you.started,text_2.started,text_2.stopped,Thank_you.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.003971999998611864,0.0069471999995585065,0.5052083999999013,0.5052083999999013,0.5218268999997235,3.114735799999835,space,2.566791400000511,None,,,,,,,,,,,,,,,2,001,2025-11-20_00h03.14.111,lexical_decision,,2025.1.1,59.98847021574402,2025-11-20 00h03.18.717271 +0530,
clope,nonword,m,0,0,0,z,0,2.8567965000002005,None,0,0,0,19,3.131378499998391,,,,,,,,,,,3.1255390999995143,3.131378499998391,3.622025799999392,3.622025799999392,3.638824099998601,6.4884062000000995,z,0,2.8567965000002005,None,,,,,2,001,2025-11-20_00h03.14.111,lexical_decision,,2025.1.1,59.98847021574402,2025-11-20 00h03.18.717271 +0530,
plome,nonword,m,1,1,0,z,0,0.9388509999989765,None,0,1,1,12,6.504885899999863,,,,,,,,,,,6.490137799999502,6.504885899999863,6.988561000000118,6.988561000000118,7.00555759999952,7.939221499998894,z,0,0.9388509999989765,None,,,,,2,001,2025-11-20_00h03.14.111,lexical_decision,,2025.1.1,59.98847021574402,2025-11-20 00h03.18.717271 +0530,
market,word,z,2,2,0,z,1,0.7623324999985925,None,0,2,2,5,7.955356099999335,,,,,,,,,,,7.942416299998513,7.955356099999335,8.45478059999914,8.45478059999914,8.45478059999914,9.222777899998619,z,1,0.7623324999985925,None,,,,,2,001,2025-11-20_00h03.14.111,lexical_decision,,2025.1.1,59.98847021574402,2025-11-20 00h03.18.717271 +0530,
flirp,nonword,m,3,3,0,m,1,1.0558239000001777,None,0,3,3,10,9.238150699999096,,,,,,,,,,,9.226348399999551,9.238150699999096,9.738380099999631,9.738380099999631,9.738380099999631,10.806373599998551,m,1,1.0558239000001777,None,,,,,2,001,2025-11-20_00h03.14.111,lexical_decision,,2025.1.1,59.98847021574402,2025-11-20 00h03.18.717271 +0530,
brantle,nonword,m,4,4,0,m,1,0.8613874999991822,None,0,4,4,16,10.821865099998831,,,,,,,,,,,10.810027399998944,10.821865099998831,11.32201410000016,11.32201410000016,11.32201410000016,12.189333299998907,m,1,0.8613874999991822,None,,,,,2,001,2025-11-20_00h03.14.111,lexical_decision,,2025.1.1,59.98847021574402,2025-11-20 00h03.18.717271 +0530,
glenter,nonword,m,5,5,0,m,1,0.8911611999992601,None,0,5,5,14,12.204689700000017,,,,,,,,,,,12.19359809999878,12.204689700000017,12.70475869999973,12.70475869999973,12.70475869999973,13.606260099999417,m,1,0.8911611999992601,None,,,,,2,001,2025-11-20_00h03.14.111,lexical_decision,,2025.1.1,59.98847021574402,2025-11-20 00h03.18.717271 +0530,
drent,nonword,m,6,6,0,m,1,0.6442133000000467,None,0,6,6,11,13.621110499998395,,,,,,,,,,,13.61381529999926,13.621110499998395,14.121796999999788,14.121796999999788,14.121796999999788,14.772056599998905,m,1,0.6442133000000467,None,,,,,2,001,2025-11-20_00h03.14.111,lexical_decision,,2025.1.1,59.98847021574402,2025-11-20 00h03.18.717271 +0530,
fradge,nonword,m,7,7,0,m,1,5.943050300000323,None,0,7,7,15,14.788325800000166,,,,,,,,,,,14.776789699999426,14.788325800000166,15.271702999998524,15.271702999998524,15.287798499999553,21.222067299999253,m,1,5.943050300000323,None,,,,,2,001,2025-11-20_00h03.14.111,lexical_decision,,2025.1.1,59.98847021574402,2025-11-20 00h03.18.717271 +0530,
window,word,z,8,8,0,z,1,0.5887704999986454,None,0,8,8,2,21.237693499999295,,,,,,,,,,,21.22926860000007,21.237693499999295,21.737499999999272,21.737499999999272,21.737499999999272,22.338404199999786,z,1,0.5887704999986454,None,,,,,2,001,2025-11-20_00h03.14.111,lexical_decision,,2025.1.1,59.98847021574402,2025-11-20 00h03.18.717271 +0530,
