Study_word,thisN,thisTrialN,thisRepN,Studyslider.response,Studyslider.rt,test_word,Reference,old_new,test_textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,Studytext.started,Studyslider.started,trial.stopped,trials.Studyslider.response,trials.Studyslider.rt,test.started,TestText.started,test_textbox.started,submit_text.started,testmouse.started,TestText.stopped,test_textbox.stopped,test.stopped,trials_2.test_textbox.text,trials_2.testmouse.x,trials_2.testmouse.y,trials_2.testmouse.leftButton,trials_2.testmouse.midButton,trials_2.testmouse.rightButton,trials_2.testmouse.time,trials_2.testmouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
Pastry,0,0,0,1.9766666666666666,1.0135110999981407,,,,,,,,,,,,0,0,0,9,,,,,0.03149019999545999,,0.02385089997551404,0.03149019999545999,0.03149019999545999,1.0510386999812908,1.9766666666666666,1.0135110999981407,,,,,,,,,,,,,,,,,2,001,2025-10-16_11h48.18.611,priming_exp,,2025.1.1,60.11212112832156,2025-10-16 11h48.23.592280 +0530,
phone,1,1,0,1.9766666666666666,0.41189300001133233,,,,,,,,,,,,0,1,1,2,,,,,1.0669874000013806,,1.0564293999923393,1.0669874000013806,1.0669874000013806,1.4842611999774817,1.9766666666666666,0.41189300001133233,,,,,,,,,,,,,,,,,2,001,2025-10-16_11h48.18.611,priming_exp,,2025.1.1,60.11212112832156,2025-10-16 11h48.23.592280 +0530,
Poster,2,2,0,1.9766666666666666,0.16878219999489374,,,,,,,,,,,,0,2,2,14,,,,,1.5007487999973819,,1.4859081000031438,1.5007487999973819,1.5007487999973819,1.6678346999979112,1.9766666666666666,0.16878219999489374,,,,,,,,,,,,,,,,,2,001,2025-10-16_11h48.18.611,priming_exp,,2025.1.1,60.11212112832156,2025-10-16 11h48.23.592280 +0530,
Police,3,3,0,1.9766666666666666,0.15198310001869686,,,,,,,,,,,,0,3,3,12,,,,,1.6839383999758866,,1.6695084999955725,1.6839383999758866,1.6839383999758866,1.8345580000022892,1.9766666666666666,0.15198310001869686,,,,,,,,,,,,,,,,,2,001,2025-10-16_11h48.18.611,priming_exp,,2025.1.1,60.11212112832156,2025-10-16 11h48.23.592280 +0530,
Keys,4,4,0,1.9366666666666668,1.050431399984518,,,,,,,,,,,,0,4,4,13,,,,,1.8504998999997042,,1.837849199975608,1.8504998999997042,1.8504998999997042,2.901280299993232,1.9366666666666668,1.050431399984518,,,,,,,,,,,,,,,,,2,001,2025-10-16_11h48.18.611,priming_exp,,2025.1.1,60.11212112832156,2025-10-16 11h48.23.592280 +0530,
board,5,5,0,1,0.5341246000025421,,,,,,,,,,,,0,5,5,4,,,,,2.91725349999615,,2.9044090999814216,2.91725349999615,2.91725349999615,3.451709699991625,1,0.5341246000025421,,,,,,,,,,,,,,,,,2,001,2025-10-16_11h48.18.611,priming_exp,,2025.1.1,60.11212112832156,2025-10-16 11h48.23.592280 +0530,
marble,6,6,0,1.8066666666666666,0.41789630000130273,,,,,,,,,,,,0,6,6,3,,,,,3.467281199991703,,3.4537326999998186,3.467281199991703,3.467281199991703,3.884297399985371,1.8066666666666666,0.41789630000130273,,,,,,,,,,,,,,,,,2,001,2025-10-16_11h48.18.611,priming_exp,,2025.1.1,60.11212112832156,2025-10-16 11h48.23.592280 +0530,
book,7,7,0,2.56,0.43473040001117624,,,,,,,,,,,,0,7,7,0,,,,,3.9003292999987025,,3.885888699995121,3.9003292999987025,3.9003292999987025,4.334227199986344,2.56,0.43473040001117624,,,,,,,,,,,,,,,,,2,001,2025-10-16_11h48.18.611,priming_exp,,2025.1.1,60.11212112832156,2025-10-16 11h48.23.592280 +0530,
Laptop,8,8,0,2.9466666666666668,0.4137213999929372,,,,,,,,,,,,0,8,8,5,,,,,4.350980099989101,,4.337734000000637,4.350980099989101,4.350980099989101,4.768142099987017,2.9466666666666668,0.4137213999929372,,,,,,,,,,,,,,,,,2,001,2025-10-16_11h48.18.611,priming_exp,,2025.1.1,60.11212112832156,2025-10-16 11h48.23.592280 +0530,
cushion,9,9,0,2.1166666666666667,0.5349900999863166,,,,,,,,,,,,0,9,9,1,,,,,4.783672099991236,,4.7701158999989275,4.783672099991236,4.783672099991236,5.318324199994095,2.1166666666666667,0.5349900999863166,,,,,,,,,,,,,,,,,2,001,2025-10-16_11h48.18.611,priming_exp,,2025.1.1,60.11212112832156,2025-10-16 11h48.23.592280 +0530,
