word,colour,stim_condition,correct_res,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instruction.started,text_2.started,text_2.stopped,instruction.stopped,trial.started,fixation.started,fixation.stopped,text.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,thanks.started,text_3.started,text_3.stopped,thanks.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
RED,red,C,r,1,1,0,r,1,0.4593141,None,0,1,1,0,3.3236865,,,,,,3.3186927,3.3236865,3.8237963,3.8237963,3.8237963,4.2908021,r,1,0.4593141,None,,,,,1,1,2025-08-22_12h54.19.788,stroop,,2025.1.1,59.99876402,2025-08-22 12h54.41.876049 +0530
BLUE,blue,C,b,2,2,0,b,1,0.471441,None,0,2,2,3,4.3068899,,,,,,4.2982029,4.3068899,4.7903369,4.7903369,4.7903369,5.2743895,b,1,0.471441,None,,,,,1,1,2025-08-22_12h54.19.788,stroop,,2025.1.1,59.99876402,2025-08-22 12h54.41.876049 +0530
RED,red,C,r,6,2,1,r,1,0.447316,None,1,2,6,0,8.2406007,,,,,,8.2258947,8.2406007,8.7238492,8.7238492,8.7238492,9.1742499,r,1,0.447316,None,,,,,1,1,2025-08-22_12h54.19.788,stroop,,2025.1.1,59.99876402,2025-08-22 12h54.41.876049 +0530
BLUE,blue,C,b,7,3,1,b,1,0.4612677,None,1,3,7,3,9.1903891,,,,,,9.1784886,9.1903891,9.6733552,9.6733552,9.6733552,10.1404241,b,1,0.4612677,None,,,,,1,1,2025-08-22_12h54.19.788,stroop,,2025.1.1,59.99876402,2025-08-22 12h54.41.876049 +0530
BLUE,blue,C,b,9,1,2,b,1,0.370718,None,2,1,9,3,10.9901664,,,,,,10.9773362,10.9901664,11.473228,11.473228,11.473228,11.8574328,b,1,0.370718,None,,,,,1,1,2025-08-22_12h54.19.788,stroop,,2025.1.1,59.99876402,2025-08-22 12h54.41.876049 +0530
RED,red,C,r,11,3,2,r,1,0.3708457,None,2,3,11,0,12.9565704,,,,,,12.9424598,12.9565704,13.440163,13.440163,13.440163,13.8247292,r,1,0.3708457,None,,,,,1,1,2025-08-22_12h54.19.788,stroop,,2025.1.1,59.99876402,2025-08-22 12h54.41.876049 +0530
RED,red,C,r,13,1,3,r,1,0.5824489,None,3,1,13,0,14.8401769,,,,,,14.825591,14.8401769,15.3231483,15.3231483,15.3231483,15.9074881,r,1,0.5824489,None,,,,,1,1,2025-08-22_12h54.19.788,stroop,,2025.1.1,59.99876402,2025-08-22 12h54.41.876049 +0530
BLUE,blue,C,b,15,3,3,b,1,0.4419377,None,3,3,15,3,17.0230114,,,,,,17.0078914,17.0230114,17.5064067,17.5064067,17.5064067,17.9571774,b,1,0.4419377,None,,,,,1,1,2025-08-22_12h54.19.788,stroop,,2025.1.1,59.99876402,2025-08-22 12h54.41.876049 +0530
BLUE,blue,C,b,18,2,4,b,1,0.3769845,None,4,2,18,3,19.8063929,,,,,,19.7909465,19.8063929,20.2896872,20.2896872,20.2896872,20.6733986,b,1,0.3769845,None,,,,,1,1,2025-08-22_12h54.19.788,stroop,,2025.1.1,59.99876402,2025-08-22 12h54.41.876049 +0530
RED,red,C,r,19,3,4,r,1,0.4542173,None,4,3,19,0,20.6895722,,,,,,20.6770712,20.6895722,21.1729544,21.1729544,21.1729544,21.6401027,r,1,0.4542173,None,,,,,1,1,2025-08-22_12h54.19.788,stroop,,2025.1.1,59.99876402,2025-08-22 12h54.41.876049 +0530
BLUE,blue,C,b,21,1,5,b,1,0.525802,None,5,1,21,3,22.5895871,,,,,,22.5741845,22.5895871,23.0728399,23.0728399,23.0728399,23.6066389,b,1,0.525802,None,,,,,1,1,2025-08-22_12h54.19.788,stroop,,2025.1.1,59.99876402,2025-08-22 12h54.41.876049 +0530
RED,red,C,r,22,2,5,r,1,0.5010778,None,5,2,22,0,23.6226973,,,,,,23.610344,23.6226973,24.1060766,24.1060766,24.1060766,24.6233303,r,1,0.5010778,None,,,,,1,1,2025-08-22_12h54.19.788,stroop,,2025.1.1,59.99876402,2025-08-22 12h54.41.876049 +0530
RED,red,C,r,24,0,6,r,1,0.6589919,None,6,0,24,0,25.7060848,,,,,,25.690703,25.7060848,26.1895608,26.1895608,26.1895608,26.8572856,r,1,0.6589919,None,,,,,1,1,2025-08-22_12h54.19.788,stroop,,2025.1.1,59.99876402,2025-08-22 12h54.41.876049 +0530
BLUE,blue,C,b,25,1,6,b,1,0.5444842,None,6,1,25,3,26.8726307,,,,,,26.8629835,26.8726307,27.3726376,27.3726376,27.3726376,27.9233798,b,1,0.5444842,None,,,,,1,1,2025-08-22_12h54.19.788,stroop,,2025.1.1,59.99876402,2025-08-22 12h54.41.876049 +0530
RED,red,C,r,30,2,7,r,1,0.4189738,None,7,2,30,0,32.1892177,,,,,,32.1771591,32.1892177,32.6724529,32.6724529,32.6724529,33.1066181,r,1,0.4189738,None,,,,,1,1,2025-08-22_12h54.19.788,stroop,,2025.1.1,59.99876402,2025-08-22 12h54.41.876049 +0530
BLUE,blue,C,b,31,3,7,b,1,0.4487698,None,7,3,31,3,33.1223453,,,,,,33.1109689,33.1223453,33.605776,33.605776,33.605776,34.0564654,b,1,0.4487698,None,,,,,1,1,2025-08-22_12h54.19.788,stroop,,2025.1.1,59.99876402,2025-08-22 12h54.41.876049 +0530
BLUE,blue,C,b,33,1,8,b,1,0.333961,None,8,1,33,3,34.955683,,,,,,34.9450439,34.955683,35.4391173,35.4391173,35.4391173,35.7897739,b,1,0.333961,None,,,,,1,1,2025-08-22_12h54.19.788,stroop,,2025.1.1,59.99876402,2025-08-22 12h54.41.876049 +0530
RED,red,C,r,35,3,8,r,1,0.3524307,None,8,3,35,0,36.8055697,,,,,,36.7937066,36.8055697,37.2890025,37.2890025,37.2890025,37.6568063,r,1,0.3524307,None,,,,,1,1,2025-08-22_12h54.19.788,stroop,,2025.1.1,59.99876402,2025-08-22 12h54.41.876049 +0530
BLUE,blue,C,b,37,1,9,b,1,0.3370362,None,9,1,37,3,38.8557018,,,,,,38.843602,38.8557018,39.3388428,39.3388428,39.3388428,39.6896816,b,1,0.3370362,None,,,,,1,1,2025-08-22_12h54.19.788,stroop,,2025.1.1,59.99876402,2025-08-22 12h54.41.876049 +0530
RED,red,C,r,38,2,9,r,1,0.54123,None,9,2,38,0,39.7055924,,,,,,39.6932633,39.7055924,40.2053913,40.2053913,40.2053913,40.7561085,r,1,0.54123,None,,,,,1,1,2025-08-22_12h54.19.788,stroop,,2025.1.1,59.99876402,2025-08-22 12h54.41.876049 +0530
RED,blue,I,b,0,0,0,b,1,0.7890185,None,0,0,0,1,2.0090457,,,,,,2.0060134,2.0090457,2.507096,2.507096,2.507096,3.3182732,b,1,0.7890185,None,,,,,1,1,2025-08-22_12h54.19.788,stroop,,2025.1.1,59.99876402,2025-08-22 12h54.41.876049 +0530
BLUE,red,I,r,3,3,0,r,1,0.5250238,None,0,3,3,2,5.2908564,,,,,,5.2748966,5.2908564,5.7737011,5.7737011,5.7737011,6.307388,r,1,0.5250238,None,,,,,1,1,2025-08-22_12h54.19.788,stroop,,2025.1.1,59.99876402,2025-08-22 12h54.41.876049 +0530
RED,blue,I,b,4,0,1,b,1,0.4600275,None,1,0,4,1,6.3236299,,,,,,6.3091734,6.3236299,6.8070429,6.8070429,6.8070429,7.2739061,b,1,0.4600275,None,,,,,1,1,2025-08-22_12h54.19.788,stroop,,2025.1.1,59.99876402,2025-08-22 12h54.41.876049 +0530
BLUE,red,I,r,5,1,1,r,1,0.4445204,None,1,1,5,2,7.2903255,,,,,,7.2764481,7.2903255,7.7736217,7.7736217,7.7736217,8.2241935,r,1,0.4445204,None,,,,,1,1,2025-08-22_12h54.19.788,stroop,,2025.1.1,59.99876402,2025-08-22 12h54.41.876049 +0530
RED,blue,I,b,8,0,2,b,1,0.3260862,None,2,0,8,1,10.1570386,,,,,,10.1420479,10.1570386,10.640222,10.640222,10.640222,10.9740252,b,1,0.3260862,None,,,,,1,1,2025-08-22_12h54.19.788,stroop,,2025.1.1,59.99876402,2025-08-22 12h54.41.876049 +0530
BLUE,red,I,r,10,2,2,r,1,0.5719972,None,2,2,10,2,11.8735644,,,,,,11.8580419,11.8735644,12.356749,12.356749,12.356749,12.9403515,r,1,0.5719972,None,,,,,1,1,2025-08-22_12h54.19.788,stroop,,2025.1.1,59.99876402,2025-08-22 12h54.41.876049 +0530
RED,blue,I,b,12,0,3,b,1,0.4697423,None,3,0,12,1,13.8402108,,,,,,13.8260758,13.8402108,14.3399671,14.3399671,14.3399671,14.824058,b,1,0.4697423,None,,,,,1,1,2025-08-22_12h54.19.788,stroop,,2025.1.1,59.99876402,2025-08-22 12h54.41.876049 +0530
BLUE,red,I,r,14,2,3,r,1,0.5792372,None,3,2,14,2,15.923224,,,,,,15.911912,15.923224,16.4230867,16.4230867,16.4230867,17.0070606,r,1,0.5792372,None,,,,,1,1,2025-08-22_12h54.19.788,stroop,,2025.1.1,59.99876402,2025-08-22 12h54.41.876049 +0530
RED,blue,I,b,16,0,4,b,1,0.3946826,None,4,0,16,1,17.9730574,,,,,,17.9610108,17.9730574,18.4565358,18.4565358,18.4565358,18.8568565,b,1,0.3946826,None,,,,,1,1,2025-08-22_12h54.19.788,stroop,,2025.1.1,59.99876402,2025-08-22 12h54.41.876049 +0530
BLUE,red,I,r,17,1,4,r,1,0.4204387,None,4,1,17,2,18.8729311,,,,,,18.8604549,18.8729311,19.3563244,19.3563244,19.3563244,19.7902005,r,1,0.4204387,None,,,,,1,1,2025-08-22_12h54.19.788,stroop,,2025.1.1,59.99876402,2025-08-22 12h54.41.876049 +0530
BLUE,red,I,r,20,0,5,r,1,0.4212982,None,5,0,20,2,21.6563428,,,,,,21.6443013,21.6563428,22.1396953,22.1396953,22.1396953,22.5734508,r,1,0.4212982,None,,,,,1,1,2025-08-22_12h54.19.788,stroop,,2025.1.1,59.99876402,2025-08-22 12h54.41.876049 +0530
RED,blue,I,b,23,3,5,b,1,0.5664226,None,5,3,23,1,24.6395317,,,,,,24.6241345,24.6395317,25.1227878,25.1227878,25.1227878,25.6899763,b,1,0.5664226,None,,,,,1,1,2025-08-22_12h54.19.788,stroop,,2025.1.1,59.99876402,2025-08-22 12h54.41.876049 +0530
RED,blue,I,b,26,2,6,b,1,0.3827458,None,6,2,26,1,27.9393861,,,,,,27.9291228,27.9393861,28.4225089,28.4225089,28.4225089,28.8063635,b,1,0.3827458,None,,,,,1,1,2025-08-22_12h54.19.788,stroop,,2025.1.1,59.99876402,2025-08-22 12h54.41.876049 +0530
BLUE,red,I,r,27,3,6,r,1,0.6484719,None,6,3,27,2,28.8225739,,,,,,28.8118515,28.8225739,29.3060498,29.3060498,29.3060498,29.9565119,r,1,0.6484719,None,,,,,1,1,2025-08-22_12h54.19.788,stroop,,2025.1.1,59.99876402,2025-08-22 12h54.41.876049 +0530
RED,blue,I,b,28,0,7,b,1,0.6135802,None,7,0,28,1,29.9724902,,,,,,29.9596516,29.9724902,30.4558569,30.4558569,30.4558569,31.0730142,b,1,0.6135802,None,,,,,1,1,2025-08-22_12h54.19.788,stroop,,2025.1.1,59.99876402,2025-08-22 12h54.41.876049 +0530
BLUE,red,I,r,29,1,7,r,1,0.5931948,None,7,1,29,2,31.0893755,,,,,,31.0776856,31.0893755,31.5724728,31.5724728,31.5724728,32.1729627,r,1,0.5931948,None,,,,,1,1,2025-08-22_12h54.19.788,stroop,,2025.1.1,59.99876402,2025-08-22 12h54.41.876049 +0530
RED,blue,I,b,32,0,8,b,1,0.3732591,None,8,0,32,1,34.1530621,,,,,,34.1492867,34.1530621,34.5559414,34.5559414,34.5559414,34.9398735,b,1,0.3732591,None,,,,,1,1,2025-08-22_12h54.19.788,stroop,,2025.1.1,59.99876402,2025-08-22 12h54.41.876049 +0530
BLUE,red,I,r,34,2,8,r,1,0.4976096,None,8,2,34,2,35.8056028,,,,,,35.7905511,35.8056028,36.2888583,36.2888583,36.2888583,36.7896085,r,1,0.4976096,None,,,,,1,1,2025-08-22_12h54.19.788,stroop,,2025.1.1,59.99876402,2025-08-22 12h54.41.876049 +0530
RED,blue,I,b,36,0,9,b,1,0.6549613,None,9,0,36,1,37.67221,,,,,,37.6582198,37.67221,38.1722015,38.1722015,38.1722015,38.8395051,b,1,0.6549613,None,,,,,1,1,2025-08-22_12h54.19.788,stroop,,2025.1.1,59.99876402,2025-08-22 12h54.41.876049 +0530
BLUE,red,I,r,39,3,9,r,1,0.3950567,None,9,3,39,2,40.7720384,,,,,,40.7601838,40.7720384,41.2554789,41.2554789,41.2554789,41.6560229,r,1,0.3950567,None,,,,,1,1,2025-08-22_12h54.19.788,stroop,,2025.1.1,59.99876402,2025-08-22 12h54.41.876049 +0530
,,,,,,,,,,,,,,,,,0.0027947,0.0063164,2.0090457,1.9908289,,,,,,,,,,,,,,,1,1,2025-08-22_12h54.19.788,stroop,,2025.1.1,59.99876402,2025-08-22 12h54.41.876049 +0530
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.6562277,41.6720098,43.6719568,43.6561274,1,1,2025-08-22_12h54.19.788,stroop,,2025.1.1,59.99876402,2025-08-22 12h54.41.876049 +0530
