thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instructions.started,text.started,key_resp.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,Thank_you_.started,text_2.started,text_2.stopped,Thank_you_.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.003094000043347478,0.010330599965527654,0.010330599965527654,2.1841188999824226,space,2.0841317002195865,None,,,,,,,,,,,,,,,,,,2,001,2025-10-02_17h38.56.129,visual search,,2025.1.1,60.03287402849699,2025-10-02 17h39.14.778780 +0530,
0,0,0,[np.float64(0.04833333333333333)],[np.float64(-0.4558333333333333)],[1],[0],[0],[3.5750754999462515],['target'],0,0,0,0,2.227178200148046,,,,,,,,,10,2.206771499942988,2.227178200148046,2.227178200148046,0.022643700009211898,5.761515200138092,[np.float64(0.04833333333333333)],[np.float64(-0.4558333333333333)],[1],[0],[0],[3.5750754999462515],['target'],,,,,2,001,2025-10-02_17h38.56.129,visual search,,2025.1.1,60.03287402849699,2025-10-02 17h39.14.778780 +0530,
1,0,1,[np.float64(-0.020833333333333332)],[np.float64(-0.2925)],[1],[0],[0],[1.6514504000078887],['target'],1,0,1,0,5.779663200024515,,,,,,,,,5,5.77395850000903,5.779663200024515,5.779663200024515,0.012272699968889356,7.413515000138432,[np.float64(-0.020833333333333332)],[np.float64(-0.2925)],[1],[0],[0],[1.6514504000078887],['target'],,,,,2,001,2025-10-02_17h38.56.129,visual search,,2025.1.1,60.03287402849699,2025-10-02 17h39.14.778780 +0530,
2,0,2,[np.float64(-0.4583333333333333)],[np.float64(-0.010833333333333334)],[1],[0],[0],[1.6146726000588387],['target'],2,0,2,0,7.4476791000925004,,,,,,,,,10,7.4381313000340015,7.4476791000925004,7.4476791000925004,0.024460799992084503,9.02875589998439,[np.float64(-0.4583333333333333)],[np.float64(-0.010833333333333334)],[1],[0],[0],[1.6146726000588387],['target'],,,,,2,001,2025-10-02_17h38.56.129,visual search,,2025.1.1,60.03287402849699,2025-10-02 17h39.14.778780 +0530,
3,0,3,[np.float64(-0.028333333333333332)],[np.float64(-0.335)],[1],[0],[0],[1.4339432001579553],['target'],3,0,3,0,9.05992510006763,,,,,,,,,10,9.051353600108996,9.05992510006763,9.05992510006763,0.02244339999742806,10.463219800032675,[np.float64(-0.028333333333333332)],[np.float64(-0.335)],[1],[0],[0],[1.4339432001579553],['target'],,,,,2,001,2025-10-02_17h38.56.129,visual search,,2025.1.1,60.03287402849699,2025-10-02 17h39.14.778780 +0530,
4,0,4,[np.float64(-0.17083333333333334)],[np.float64(0.235)],[1],[0],[0],[1.7494969998952001],['target'],4,0,4,0,10.480980900116265,,,,,,,,,5,10.474289100151509,10.480980900116265,10.480980900116265,0.010912900092080235,12.213290000101551,[np.float64(-0.17083333333333334)],[np.float64(0.235)],[1],[0],[0],[1.7494969998952001],['target'],,,,,2,001,2025-10-02_17h38.56.129,visual search,,2025.1.1,60.03287402849699,2025-10-02 17h39.14.778780 +0530,
5,0,5,[np.float64(0.2825)],[np.float64(0.06833333333333333)],[1],[0],[0],[1.932304099900648],['target'],5,0,5,0,12.237009200034663,,,,,,,,,5,12.228271099971607,12.237009200034663,12.237009200034663,0.014845199882984161,14.14612100017257,[np.float64(0.2825)],[np.float64(0.06833333333333333)],[1],[0],[0],[1.932304099900648],['target'],,,,,2,001,2025-10-02_17h38.56.129,visual search,,2025.1.1,60.03287402849699,2025-10-02 17h39.14.778780 +0530,
6,0,6,[np.float64(-0.315)],[np.float64(-0.12333333333333334)],[1],[0],[0],[1.349815599853173],['target'],6,0,6,0,14.164262400008738,,,,,,,,,5,14.158183500170708,14.164262400008738,14.164262400008738,0.0119656000752002,15.496357999974862,[np.float64(-0.315)],[np.float64(-0.12333333333333334)],[1],[0],[0],[1.349815599853173],['target'],,,,,2,001,2025-10-02_17h38.56.129,visual search,,2025.1.1,60.03287402849699,2025-10-02 17h39.14.778780 +0530,
7,0,7,[np.float64(0.07333333333333333)],[np.float64(0.15916666666666668)],[1],[0],[0],[1.533060200046748],['target'],7,0,7,0,15.527340300148353,,,,,,,,,10,15.517023300053552,15.527340300148353,15.527340300148353,0.020513700088486075,17.02996450010687,[np.float64(0.07333333333333333)],[np.float64(0.15916666666666668)],[1],[0],[0],[1.533060200046748],['target'],,,,,2,001,2025-10-02_17h38.56.129,visual search,,2025.1.1,60.03287402849699,2025-10-02 17h39.14.778780 +0530,
8,0,8,[np.float64(-0.0025)],[np.float64(0.31416666666666665)],[1],[0],[0],[2.049066400155425],['target'],8,0,8,0,17.057687500026077,,,,,,,,,10,17.048521799966693,17.057687500026077,17.057687500026077,0.018434999976307154,19.079455300001428,[np.float64(-0.0025)],[np.float64(0.31416666666666665)],[1],[0],[0],[2.049066400155425],['target'],,,,,2,001,2025-10-02_17h38.56.129,visual search,,2025.1.1,60.03287402849699,2025-10-02 17h39.14.778780 +0530,
9,0,9,[np.float64(0.08916666666666667)],[np.float64(-0.4675)],[1],[0],[0],[2.316067999927327],['target'],9,0,9,0,19.112604500027373,,,,,,,,,10,19.10371890012175,19.112604500027373,19.112604500027373,0.024149399949237704,21.396038600010797,[np.float64(0.08916666666666667)],[np.float64(-0.4675)],[1],[0],[0],[2.316067999927327],['target'],,,,,2,001,2025-10-02_17h38.56.129,visual search,,2025.1.1,60.03287402849699,2025-10-02 17h39.14.778780 +0530,
10,0,10,[np.float64(0.27166666666666667)],[np.float64(0.0575)],[1],[0],[0],[1.9996662000194192],['target'],10,0,10,0,21.42892080009915,,,,,,,,,10,21.418684600153938,21.42892080009915,21.42892080009915,0.0224524000659585,23.3963214000687,[np.float64(0.27166666666666667)],[np.float64(0.0575)],[1],[0],[0],[1.9996662000194192],['target'],,,,,2,001,2025-10-02_17h38.56.129,visual search,,2025.1.1,60.03287402849699,2025-10-02 17h39.14.778780 +0530,
11,0,11,[np.float64(0.07583333333333334)],[np.float64(0.05333333333333334)],[1],[0],[0],[1.1323025999590755],['target'],11,0,11,0,23.436295800143853,,,,,,,,,10,23.424744999967515,23.436295800143853,23.436295800143853,0.02826340007595718,24.529246299993247,[np.float64(0.07583333333333334)],[np.float64(0.05333333333333334)],[1],[0],[0],[1.1323025999590755],['target'],,,,,2,001,2025-10-02_17h38.56.129,visual search,,2025.1.1,60.03287402849699,2025-10-02 17h39.14.778780 +0530,
12,0,12,[np.float64(-0.4625)],[np.float64(0.2075)],[1],[0],[0],[2.0158245998900384],['target'],12,0,12,0,24.550299300113693,,,,,,,,,5,24.542587300064042,24.550299300113693,24.550299300113693,0.013154699932783842,26.545696400105953,[np.float64(-0.4625)],[np.float64(0.2075)],[1],[0],[0],[2.0158245998900384],['target'],,,,,2,001,2025-10-02_17h38.56.129,visual search,,2025.1.1,60.03287402849699,2025-10-02 17h39.14.778780 +0530,
13,0,13,[np.float64(-0.16833333333333333)],[np.float64(0.25333333333333335)],[1],[0],[0],[1.5994828001130372],['target'],13,0,13,0,26.56643130001612,,,,,,,,,5,26.558506899978966,26.56643130001612,26.56643130001612,0.01271929987706244,28.145600100047886,[np.float64(-0.16833333333333333)],[np.float64(0.25333333333333335)],[1],[0],[0],[1.5994828001130372],['target'],,,,,2,001,2025-10-02_17h38.56.129,visual search,,2025.1.1,60.03287402849699,2025-10-02 17h39.14.778780 +0530,
14,0,14,[np.float64(-0.05333333333333334)],[np.float64(0.0175)],[1],[0],[0],[1.8993093001190573],['target'],14,0,14,0,28.166453100042418,,,,,,,,,5,28.159204800147563,28.166453100042418,28.166453100042418,0.013516699895262718,30.045366500038654,[np.float64(-0.05333333333333334)],[np.float64(0.0175)],[1],[0],[0],[1.8993093001190573],['target'],,,,,2,001,2025-10-02_17h38.56.129,visual search,,2025.1.1,60.03287402849699,2025-10-02 17h39.14.778780 +0530,
15,0,15,[np.float64(-0.30666666666666664)],[np.float64(0.24333333333333335)],[1],[0],[0],[2.3661923999898136],['target'],15,0,15,0,30.079017600044608,,,,,,,,,10,30.06888830009848,30.079017600044608,30.079017600044608,0.023376099998131394,32.41207640012726,[np.float64(-0.30666666666666664)],[np.float64(0.24333333333333335)],[1],[0],[0],[2.3661923999898136],['target'],,,,,2,001,2025-10-02_17h38.56.129,visual search,,2025.1.1,60.03287402849699,2025-10-02 17h39.14.778780 +0530,
16,0,16,[np.float64(-0.4066666666666667)],[np.float64(0.24666666666666667)],[1],[0],[0],[1.032654699869454],['target'],16,0,16,0,32.43515869998373,,,,,,,,,5,32.42544910009019,32.43515869998373,32.43515869998373,0.013135199900716543,33.44542670017108,[np.float64(-0.4066666666666667)],[np.float64(0.24666666666666667)],[1],[0],[0],[1.032654699869454],['target'],,,,,2,001,2025-10-02_17h38.56.129,visual search,,2025.1.1,60.03287402849699,2025-10-02 17h39.14.778780 +0530,
17,0,17,[np.float64(-0.38166666666666665)],[np.float64(0.11083333333333334)],[1],[0],[0],[1.199474300025031],['target'],17,0,17,0,33.46268999995664,,,,,,,,,5,33.45570180006325,33.46268999995664,33.46268999995664,0.010093699907884002,34.64546540006995,[np.float64(-0.38166666666666665)],[np.float64(0.11083333333333334)],[1],[0],[0],[1.199474300025031],['target'],,,,,2,001,2025-10-02_17h38.56.129,visual search,,2025.1.1,60.03287402849699,2025-10-02 17h39.14.778780 +0530,
18,0,18,[np.float64(-0.2175)],[np.float64(-0.2758333333333333)],[1],[0],[0],[1.383218599949032],['target'],18,0,18,0,34.680037199985236,,,,,,,,,10,34.668900600168854,34.680037199985236,34.680037199985236,0.023301699897274375,36.02919519995339,[np.float64(-0.2175)],[np.float64(-0.2758333333333333)],[1],[0],[0],[1.383218599949032],['target'],,,,,2,001,2025-10-02_17h38.56.129,visual search,,2025.1.1,60.03287402849699,2025-10-02 17h39.14.778780 +0530,
19,0,19,[np.float64(-0.13083333333333333)],[np.float64(0.44916666666666666)],[1],[0],[0],[1.7145070999395102],['target'],19,0,19,0,36.05909899994731,,,,,,,,,10,36.0496183000505,36.05909899994731,36.05909899994731,0.020245000021532178,37.7443061999511,[np.float64(-0.13083333333333333)],[np.float64(0.44916666666666666)],[1],[0],[0],[1.7145070999395102],['target'],,,,,2,001,2025-10-02_17h38.56.129,visual search,,2025.1.1,60.03287402849699,2025-10-02 17h39.14.778780 +0530,
20,0,20,[np.float64(-0.13083333333333333)],[np.float64(0.245)],[1],[0],[0],[1.1673623998649418],['target'],20,0,20,0,37.78194460016675,,,,,,,,,10,37.771271200152114,37.78194460016675,37.78194460016675,0.026807100046426058,38.91218600003049,[np.float64(-0.13083333333333333)],[np.float64(0.245)],[1],[0],[0],[1.1673623998649418],['target'],,,,,2,001,2025-10-02_17h38.56.129,visual search,,2025.1.1,60.03287402849699,2025-10-02 17h39.14.778780 +0530,
21,0,21,[np.float64(0.1625)],[np.float64(0.22)],[1],[0],[0],[1.4326403001323342],['target'],21,0,21,0,38.93154889997095,,,,,,,,,5,38.92437110003084,38.93154889997095,38.93154889997095,0.012067999923601747,40.34526650002226,[np.float64(0.1625)],[np.float64(0.22)],[1],[0],[0],[1.4326403001323342],['target'],,,,,2,001,2025-10-02_17h38.56.129,visual search,,2025.1.1,60.03287402849699,2025-10-02 17h39.14.778780 +0530,
22,0,22,"[np.float64(0.10083333333333333), np.float64(0.12)]","[np.float64(-0.058333333333333334), np.float64(-0.06583333333333333)]","[1, 1]","[0, 0]","[0, 0]","[1.0824807002209127, 1.8989840000867844]","[None, 'target']",22,0,22,0,40.36567119997926,,,,,,,,,5,40.35871980013326,40.36567119997926,40.36567119997926,0.013330499874427915,42.244770700111985,"[np.float64(0.10083333333333333), np.float64(0.12)]","[np.float64(-0.058333333333333334), np.float64(-0.06583333333333333)]","[1, 1]","[0, 0]","[0, 0]","[1.0824807002209127, 1.8989840000867844]","[None, 'target']",,,,,2,001,2025-10-02_17h38.56.129,visual search,,2025.1.1,60.03287402849699,2025-10-02 17h39.14.778780 +0530,
23,0,23,[np.float64(0.2975)],[np.float64(0.395)],[1],[0],[0],[1.5166365001350641],['target'],23,0,23,0,42.28255570004694,,,,,,,,,10,42.27188150002621,42.28255570004694,42.28255570004694,0.02697069989517331,43.761949100065976,[np.float64(0.2975)],[np.float64(0.395)],[1],[0],[0],[1.5166365001350641],['target'],,,,,2,001,2025-10-02_17h38.56.129,visual search,,2025.1.1,60.03287402849699,2025-10-02 17h39.14.778780 +0530,
24,0,24,[np.float64(-0.5075)],[np.float64(-0.4033333333333333)],[1],[0],[0],[1.7320548999123275],['target'],24,0,24,0,43.78327010013163,,,,,,,,,5,43.77594930003397,43.78327010013163,43.78327010013163,0.013839199906215072,45.49455880001187,[np.float64(-0.5075)],[np.float64(-0.4033333333333333)],[1],[0],[0],[1.7320548999123275],['target'],,,,,2,001,2025-10-02_17h38.56.129,visual search,,2025.1.1,60.03287402849699,2025-10-02 17h39.14.778780 +0530,
25,0,25,[np.float64(-0.029166666666666667)],[np.float64(-0.3016666666666667)],[1],[0],[0],[1.932625100016594],['target'],25,0,25,0,45.52944880002178,,,,,,,,,10,45.517388300038874,45.52944880002178,45.52944880002178,0.022736600134521723,47.42757620010525,[np.float64(-0.029166666666666667)],[np.float64(-0.3016666666666667)],[1],[0],[0],[1.932625100016594],['target'],,,,,2,001,2025-10-02_17h38.56.129,visual search,,2025.1.1,60.03287402849699,2025-10-02 17h39.14.778780 +0530,
26,0,26,[np.float64(-0.3233333333333333)],[np.float64(-0.105)],[1],[0],[0],[1.3835575000848621],['target'],26,0,26,0,47.4434277000837,,,,,,,,,5,47.43726440006867,47.4434277000837,47.4434277000837,0.00957860006019473,48.81152210012078,[np.float64(-0.3233333333333333)],[np.float64(-0.105)],[1],[0],[0],[1.3835575000848621],['target'],,,,,2,001,2025-10-02_17h38.56.129,visual search,,2025.1.1,60.03287402849699,2025-10-02 17h39.14.778780 +0530,
27,0,27,[np.float64(0.115)],[np.float64(-0.31916666666666665)],[1],[0],[0],[1.8660730000119656],['target'],27,0,27,0,48.84051540005021,,,,,,,,,10,48.832155500072986,48.84051540005021,48.84051540005021,0.020512999966740608,50.6781026001554,[np.float64(0.115)],[np.float64(-0.31916666666666665)],[1],[0],[0],[1.8660730000119656],['target'],,,,,2,001,2025-10-02_17h38.56.129,visual search,,2025.1.1,60.03287402849699,2025-10-02 17h39.14.778780 +0530,
28,0,28,[np.float64(-0.3075)],[np.float64(0.005833333333333334)],[1],[0],[0],[1.3336572998668998],['target'],28,0,28,0,50.695207400014624,,,,,,,,,5,50.68849129998125,50.695207400014624,50.695207400014624,0.010254900204017758,52.012212899979204,[np.float64(-0.3075)],[np.float64(0.005833333333333334)],[1],[0],[0],[1.3336572998668998],['target'],,,,,2,001,2025-10-02_17h38.56.129,visual search,,2025.1.1,60.03287402849699,2025-10-02 17h39.14.778780 +0530,
29,0,29,[np.float64(0.10916666666666666)],[np.float64(0.043333333333333335)],[1],[0],[0],[1.732065400108695],['target'],29,0,29,0,52.04295250005089,,,,,,,,,10,52.032479600049555,52.04295250005089,52.04295250005089,0.020109400153160095,53.74484089994803,[np.float64(0.10916666666666666)],[np.float64(0.043333333333333335)],[1],[0],[0],[1.732065400108695],['target'],,,,,2,001,2025-10-02_17h38.56.129,visual search,,2025.1.1,60.03287402849699,2025-10-02 17h39.14.778780 +0530,
30,0,30,[np.float64(-0.47)],[np.float64(-0.18916666666666668)],[1],[0],[0],[2.2001925001386553],['target'],30,0,30,0,53.77312400005758,,,,,,,,,10,53.76511220005341,53.77312400005758,53.77312400005758,0.020061900140717626,55.94572119996883,[np.float64(-0.47)],[np.float64(-0.18916666666666668)],[1],[0],[0],[2.2001925001386553],['target'],,,,,2,001,2025-10-02_17h38.56.129,visual search,,2025.1.1,60.03287402849699,2025-10-02 17h39.14.778780 +0530,
31,0,31,[np.float64(-0.2791666666666667)],[np.float64(0.145)],[1],[0],[0],[1.3989919000305235],['target'],31,0,31,0,55.97757149999961,,,,,,,,,10,55.96896110009402,55.97757149999961,55.97757149999961,0.023037699982523918,57.3453518000897,[np.float64(-0.2791666666666667)],[np.float64(0.145)],[1],[0],[0],[1.3989919000305235],['target'],,,,,2,001,2025-10-02_17h38.56.129,visual search,,2025.1.1,60.03287402849699,2025-10-02 17h39.14.778780 +0530,
32,0,32,[np.float64(0.07416666666666667)],[np.float64(0.31833333333333336)],[1],[0],[0],[1.4151814000215381],['target'],32,0,32,0,57.36315230000764,,,,,,,,,5,57.35558660002425,57.36315230000764,57.36315230000764,0.010113100055605173,58.761000000173226,[np.float64(0.07416666666666667)],[np.float64(0.31833333333333336)],[1],[0],[0],[1.4151814000215381],['target'],,,,,2,001,2025-10-02_17h38.56.129,visual search,,2025.1.1,60.03287402849699,2025-10-02 17h39.14.778780 +0530,
33,0,33,[np.float64(0.43333333333333335)],[np.float64(-0.3725)],[1],[0],[0],[3.532666200073436],['target'],33,0,33,0,58.79070769995451,,,,,,,,,10,58.78123029996641,58.79070769995451,58.79070769995451,0.020148599985986948,62.2940482001286,[np.float64(0.43333333333333335)],[np.float64(-0.3725)],[1],[0],[0],[3.532666200073436],['target'],,,,,2,001,2025-10-02_17h38.56.129,visual search,,2025.1.1,60.03287402849699,2025-10-02 17h39.14.778780 +0530,
34,0,34,"[np.float64(-0.30416666666666664), np.float64(-0.30416666666666664), np.float64(-0.295)]","[np.float64(-0.14916666666666667), np.float64(-0.14916666666666667), np.float64(-0.15166666666666667)]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[1.532564900116995, 2.2169167001266032, 3.0651819000486284]","[None, None, 'target']",34,0,34,0,62.31132830004208,,,,,,,,,5,62.30436219996773,62.31132830004208,62.31132830004208,0.01016669999808073,65.35973770008422,"[np.float64(-0.30416666666666664), np.float64(-0.30416666666666664), np.float64(-0.295)]","[np.float64(-0.14916666666666667), np.float64(-0.14916666666666667), np.float64(-0.15166666666666667)]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[1.532564900116995, 2.2169167001266032, 3.0651819000486284]","[None, None, 'target']",,,,,2,001,2025-10-02_17h38.56.129,visual search,,2025.1.1,60.03287402849699,2025-10-02 17h39.14.778780 +0530,
