stimulus,type,correct_key,thisN,thisTrialN,thisRepN,resp.keys,resp.corr,resp.rt,resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instructions.started,fixation.started,text.started,key_resp.started,fixation.stopped,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,fix.started,fix.stopped,stim.started,resp.started,trial.stopped,trials.resp.keys,trials.resp.corr,trials.resp.rt,trials.resp.duration,Thank_you.started,text_2.started,text_2.stopped,Thank_you.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.0025299000008089934,0.005601900000328897,0.5037379000004876,0.5037379000004876,0.5204506999998557,3.240486200000305,space,2.729675999999017,None,,,,,,,,,,,,,,,3,001,2025-11-20_00h13.45.183,lexical_decision,,2025.1.1,59.933354110125265,2025-11-20 00h13.48.952049 +0530,
silver,word,z,0,0,0,z,1,0.9397675999989588,None,0,0,0,9,3.2534637000007933,,,,,,,,,,,3.249303000000509,3.2534637000007933,3.7537420999997266,3.7537420999997266,3.7537420999997266,4.704519700000674,z,1,0.9397675999989588,None,,,,,3,001,2025-11-20_00h13.45.183,lexical_decision,,2025.1.1,59.933354110125265,2025-11-20 00h13.48.952049 +0530,
glenter,nonword,m,1,1,0,m,1,1.336569099999906,None,0,1,1,14,4.720442300000286,,,,,,,,,,,4.708831899999495,4.720442300000286,5.220058499999141,5.220058499999141,5.220058499999141,6.570727199999965,m,1,1.336569099999906,None,,,,,3,001,2025-11-20_00h13.45.183,lexical_decision,,2025.1.1,59.933354110125265,2025-11-20 00h13.48.952049 +0530,
doctor,word,z,2,2,0,z,1,0.5502198000012868,None,0,2,2,3,6.5868969000002835,,,,,,,,,,,6.576317299999573,6.5868969000002835,7.086966499999107,7.070622499999445,7.070622499999445,7.63660549999986,z,1,0.5502198000012868,None,,,,,3,001,2025-11-20_00h13.45.183,lexical_decision,,2025.1.1,59.933354110125265,2025-11-20 00h13.48.952049 +0530,
garden,word,z,3,3,0,z,1,0.45509339999989606,None,0,3,3,7,7.653660399999353,,,,,,,,,,,7.638181099999201,7.653660399999353,8.153311199999735,8.136459999999715,8.136459999999715,8.604016799999954,z,1,0.45509339999989606,None,,,,,3,001,2025-11-20_00h13.45.183,lexical_decision,,2025.1.1,59.933354110125265,2025-11-20 00h13.48.952049 +0530,
bottle,word,z,4,4,0,z,1,0.485036999998556,None,0,4,4,6,8.62030219999906,,,,,,,,,,,8.6071467999991,8.62030219999906,9.120277800000622,9.103587999999945,9.103587999999945,9.603240799999185,z,1,0.485036999998556,None,,,,,3,001,2025-11-20_00h13.45.183,lexical_decision,,2025.1.1,59.933354110125265,2025-11-20 00h13.48.952049 +0530,
pillow,word,z,5,5,0,z,1,0.4267988999999943,None,0,5,5,8,9.619850299999598,,,,,,,,,,,9.606388300000617,9.619850299999598,10.119756800000687,10.103093800000352,10.103093800000352,10.53716170000007,z,1,0.4267988999999943,None,,,,,3,001,2025-11-20_00h13.45.183,lexical_decision,,2025.1.1,59.933354110125265,2025-11-20 00h13.48.952049 +0530,
fradge,nonword,m,6,6,0,z,0,2.5134152000009635,None,0,6,6,15,10.553445100000317,,,,,,,,,,,10.54081960000076,10.553445100000317,11.053422200000568,11.036595899999156,11.036595899999156,13.55318459999944,z,0,2.5134152000009635,None,,,,,3,001,2025-11-20_00h13.45.183,lexical_decision,,2025.1.1,59.933354110125265,2025-11-20 00h13.48.952049 +0530,
apple,word,z,7,7,0,z,1,1.9089215000003605,None,0,7,7,0,13.569950600000084,,,,,,,,,,,13.555735800000548,13.569950600000084,14.070095499999297,14.053845500000534,14.053845500000534,15.970213799999328,z,1,1.9089215000003605,None,,,,,3,001,2025-11-20_00h13.45.183,lexical_decision,,2025.1.1,59.933354110125265,2025-11-20 00h13.48.952049 +0530,
brantle,nonword,m,8,8,0,m,1,0.9160413000008703,None,0,8,8,16,15.986252000000604,,,,,,,,,,,15.972220100000413,15.986252000000604,16.48624799999925,16.469808300000295,16.469808300000295,17.40489189999971,m,1,0.9160413000008703,None,,,,,3,001,2025-11-20_00h13.45.183,lexical_decision,,2025.1.1,59.933354110125265,2025-11-20 00h13.48.952049 +0530,
flirp,nonword,m,9,9,0,m,1,0.869190700001127,None,0,9,9,10,17.420211500000732,,,,,,,,,,,17.409605000000738,17.420211500000732,17.920442500000718,17.920442500000718,17.920442500000718,18.803721199999927,m,1,0.869190700001127,None,,,,,3,001,2025-11-20_00h13.45.183,lexical_decision,,2025.1.1,59.933354110125265,2025-11-20 00h13.48.952049 +0530,
snarp,nonword,m,10,10,0,z,0,1.7751282999997784,None,0,10,10,13,18.819712900000013,,,,,,,,,,,18.80565369999931,18.819712900000013,19.320169599999645,19.3036833999995,19.3036833999995,21.087700699999914,z,0,1.7751282999997784,None,,,,,3,001,2025-11-20_00h13.45.183,lexical_decision,,2025.1.1,59.933354110125265,2025-11-20 00h13.48.952049 +0530,
clope,nonword,m,11,11,0,z,0,1.236830400001054,None,0,11,11,19,21.102916100000584,,,,,,,,,,,21.091456300000573,21.102916100000584,21.603297600000587,21.58655539999927,21.58655539999927,22.837443200000052,z,0,1.236830400001054,None,,,,,3,001,2025-11-20_00h13.45.183,lexical_decision,,2025.1.1,59.933354110125265,2025-11-20 00h13.48.952049 +0530,
market,word,z,12,12,0,z,1,1.8236290000004374,None,0,12,12,5,22.85309959999904,,,,,,,,,,,22.841364500000054,22.85309959999904,23.353203599999688,23.336666900000637,23.336666900000637,25.170740199999273,z,1,1.8236290000004374,None,,,,,3,001,2025-11-20_00h13.45.183,lexical_decision,,2025.1.1,59.933354110125265,2025-11-20 00h13.48.952049 +0530,
drent,nonword,m,13,13,0,m,1,1.3655524999994668,None,0,13,13,11,25.186336400000073,,,,,,,,,,,25.17449680000027,25.186336400000073,25.686474800000724,25.686474800000724,25.686474800000724,27.053988499999832,m,1,1.3655524999994668,None,,,,,3,001,2025-11-20_00h13.45.183,lexical_decision,,2025.1.1,59.933354110125265,2025-11-20 00h13.48.952049 +0530,
window,word,z,14,14,0,z,1,0.6280141999995976,None,0,14,14,2,27.06999150000047,,,,,,,,,,,27.058468400000493,27.06999150000047,27.57001029999992,27.553169799999523,27.553169799999523,28.18652999999904,z,1,0.6280141999995976,None,,,,,3,001,2025-11-20_00h13.45.183,lexical_decision,,2025.1.1,59.933354110125265,2025-11-20 00h13.48.952049 +0530,
trallip,nonword,m,15,15,0,m,1,1.029218800000308,None,0,15,15,18,28.202888199999506,,,,,,,,,,,28.19037650000064,28.202888199999506,28.703025499999058,28.686514299999544,28.686514299999544,29.720218000000386,m,1,1.029218800000308,None,,,,,3,001,2025-11-20_00h13.45.183,lexical_decision,,2025.1.1,59.933354110125265,2025-11-20 00h13.48.952049 +0530,
river,word,z,16,16,0,z,1,0.5684966999997414,None,0,16,16,1,29.73650749999979,,,,,,,,,,,29.724775200000295,29.73650749999979,30.235763900000165,30.219771500000206,30.219771500000206,30.803338300000178,z,1,0.5684966999997414,None,,,,,3,001,2025-11-20_00h13.45.183,lexical_decision,,2025.1.1,59.933354110125265,2025-11-20 00h13.48.952049 +0530,
yellow,word,z,17,17,0,z,1,0.3877671000009286,None,0,17,17,4,30.819585400000506,,,,,,,,,,,30.808462999999392,30.819585400000506,31.31942109999909,31.302892600000632,31.302892600000632,31.70461769999929,z,1,0.3877671000009286,None,,,,,3,001,2025-11-20_00h13.45.183,lexical_decision,,2025.1.1,59.933354110125265,2025-11-20 00h13.48.952049 +0530,
smode,nonword,m,18,18,0,m,1,0.9570492999991984,None,0,18,18,17,31.719280499999513,,,,,,,,,,,31.70907260000058,31.719280499999513,32.21952930000043,32.21952930000043,32.21952930000043,33.18707039999936,m,1,0.9570492999991984,None,,,,,3,001,2025-11-20_00h13.45.183,lexical_decision,,2025.1.1,59.933354110125265,2025-11-20 00h13.48.952049 +0530,
plome,nonword,m,19,19,0,m,1,1.146376800001235,None,0,19,19,12,33.20291759999964,,,,,,,,,,,33.19092040000032,33.20291759999964,33.702898199999254,33.68631450000066,33.68631450000066,34.836445700000695,m,1,1.146376800001235,None,,,,,3,001,2025-11-20_00h13.45.183,lexical_decision,,2025.1.1,59.933354110125265,2025-11-20 00h13.48.952049 +0530,
silver,word,z,20,0,1,z,1,3.182547099999283,None,1,0,20,9,34.892239799999516,,,,,,,,,,,34.88926460000039,34.892239799999516,35.4027487000003,35.33607999999913,35.33607999999913,38.536821300000156,z,1,3.182547099999283,None,,,,,3,001,2025-11-20_00h13.45.183,lexical_decision,,2025.1.1,59.933354110125265,2025-11-20 00h13.48.952049 +0530,
bottle,word,z,21,1,1,z,1,0.6483425000005809,None,1,1,21,6,38.552580199999284,,,,,,,,,,,38.54101660000015,38.552580199999284,39.05262129999937,39.03580150000016,39.03580150000016,39.6866145999993,z,1,0.6483425000005809,None,,,,,3,001,2025-11-20_00h13.45.183,lexical_decision,,2025.1.1,59.933354110125265,2025-11-20 00h13.48.952049 +0530,
fradge,nonword,m,22,2,1,m,1,2.240345599999273,None,1,2,22,15,39.702416500000254,,,,,,,,,,,39.692060699999274,39.702416500000254,40.2017235000003,40.2017235000003,40.2017235000003,42.45371259999956,m,1,2.240345599999273,None,,,,,3,001,2025-11-20_00h13.45.183,lexical_decision,,2025.1.1,59.933354110125265,2025-11-20 00h13.48.952049 +0530,
apple,word,z,23,3,1,z,1,0.5286161999993055,None,1,3,23,0,42.4693972999994,,,,,,,,,,,42.45886090000022,42.4693972999994,42.969262999999046,42.969262999999046,42.969262999999046,43.502361999999266,z,1,0.5286161999993055,None,,,,,3,001,2025-11-20_00h13.45.183,lexical_decision,,2025.1.1,59.933354110125265,2025-11-20 00h13.48.952049 +0530,
trallip,nonword,m,24,4,1,m,1,1.3914131000001362,None,1,4,24,18,43.51871829999982,,,,,,,,,,,43.50690079999913,43.51871829999982,44.01894429999993,44.00232920000053,44.00232920000053,45.40215519999947,m,1,1.3914131000001362,None,,,,,3,001,2025-11-20_00h13.45.183,lexical_decision,,2025.1.1,59.933354110125265,2025-11-20 00h13.48.952049 +0530,
pillow,word,z,25,5,1,z,1,0.532617200000459,None,1,5,25,8,45.41830889999983,,,,,,,,,,,45.40600020000056,45.41830889999983,45.91863150000063,45.902319000000716,45.902319000000716,46.4531920999998,z,1,0.532617200000459,None,,,,,3,001,2025-11-20_00h13.45.183,lexical_decision,,2025.1.1,59.933354110125265,2025-11-20 00h13.48.952049 +0530,
