Study_word,thisN,thisTrialN,thisRepN,Studyslider.response,Studyslider.rt,test_word,Reference,old_new,test_textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,Studytext.started,Studyslider.started,trial.stopped,trials.Studyslider.response,trials.Studyslider.rt,test.started,TestText.started,test_textbox.started,submit_text.started,testmouse.started,test.stopped,trials_2.test_textbox.text,trials_2.testmouse.x,trials_2.testmouse.y,trials_2.testmouse.leftButton,trials_2.testmouse.midButton,trials_2.testmouse.rightButton,trials_2.testmouse.time,trials_2.testmouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
Keys,0,0,0,1.2366666666666666,2.0630469000025187,,,,,,,,,,,,0,0,0,13,,,,,0.029948800016427413,,0.017851100012194365,0.029948800016427413,0.029948800016427413,2.0965126999944914,1.2366666666666666,2.0630469000025187,,,,,,,,,,,,,,,3,001,2025-10-16_12h37.06.204,priming_exp,,2025.1.1,60.035144575660304,2025-10-16 12h37.11.286419 +0530,
Cruise,1,1,0,1.63,0.7515863000007812,,,,,,,,,,,,0,1,1,11,,,,,2.1124536000133958,,2.100354800000787,2.1124536000133958,2.1124536000133958,2.8627754999906756,1.63,0.7515863000007812,,,,,,,,,,,,,,,3,001,2025-10-16_12h37.06.204,priming_exp,,2025.1.1,60.035144575660304,2025-10-16 12h37.11.286419 +0530,
board,2,2,0,1.63,0.527398499980336,,,,,,,,,,,,0,2,2,4,,,,,2.879096999997273,,2.8662061000068206,2.879096999997273,2.879096999997273,3.3992228000133764,1.63,0.527398499980336,,,,,,,,,,,,,,,3,001,2025-10-16_12h37.06.204,priming_exp,,2025.1.1,60.035144575660304,2025-10-16 12h37.11.286419 +0530,
cushion,3,3,0,1.63,0.09640750000835396,,,,,,,,,,,,0,3,3,1,,,,,3.407568099995842,,3.402526099991519,3.407568099995842,3.407568099995842,3.512652400007937,1.63,0.09640750000835396,,,,,,,,,,,,,,,3,001,2025-10-16_12h37.06.204,priming_exp,,2025.1.1,60.035144575660304,2025-10-16 12h37.11.286419 +0530,
Laptop,4,4,0,1.63,0.13042309999582358,,,,,,,,,,,,0,4,4,5,,,,,3.528508499992313,,3.517503700015368,3.528508499992313,3.528508499992313,3.662735199992312,1.63,0.13042309999582358,,,,,,,,,,,,,,,3,001,2025-10-16_12h37.06.204,priming_exp,,2025.1.1,60.035144575660304,2025-10-16 12h37.11.286419 +0530,
mouse,5,5,0,1.63,0.14816149999387562,,,,,,,,,,,,0,5,5,8,,,,,3.678404500009492,,3.665136600000551,3.678404500009492,3.678404500009492,3.8291305000020657,1.63,0.14816149999387562,,,,,,,,,,,,,,,3,001,2025-10-16_12h37.06.204,priming_exp,,2025.1.1,60.035144575660304,2025-10-16 12h37.11.286419 +0530,
Police,6,6,0,1.63,0.11501400000997819,,,,,,,,,,,,0,6,6,12,,,,,3.8451436999894213,,3.8326270999968983,3.8451436999894213,3.8451436999894213,3.962543600006029,1.63,0.11501400000997819,,,,,,,,,,,,,,,3,001,2025-10-16_12h37.06.204,priming_exp,,2025.1.1,60.035144575660304,2025-10-16 12h37.11.286419 +0530,
T-shirt,7,7,0,1.63,0.13167510001221672,,,,,,,,,,,,0,7,7,7,,,,,3.9785728999995627,,3.966458800015971,3.9785728999995627,3.9785728999995627,4.112709100008942,1.63,0.13167510001221672,,,,,,,,,,,,,,,3,001,2025-10-16_12h37.06.204,priming_exp,,2025.1.1,60.035144575660304,2025-10-16 12h37.11.286419 +0530,
marble,8,8,0,1.63,0.13285780002479441,,,,,,,,,,,,0,8,8,3,,,,,4.128487400012091,,4.114853500010213,4.128487400012091,4.128487400012091,4.262426500004949,1.63,0.13285780002479441,,,,,,,,,,,,,,,3,001,2025-10-16_12h37.06.204,priming_exp,,2025.1.1,60.035144575660304,2025-10-16 12h37.11.286419 +0530,
Chart,9,9,0,1.63,0.13162080000620335,,,,,,,,,,,,0,9,9,6,,,,,4.278273600008106,,4.264614400017308,4.278273600008106,4.278273600008106,4.412380399997346,1.63,0.13162080000620335,,,,,,,,,,,,,,,3,001,2025-10-16_12h37.06.204,priming_exp,,2025.1.1,60.035144575660304,2025-10-16 12h37.11.286419 +0530,
