stimulus,type,correct_key,thisN,thisTrialN,thisRepN,resp.keys,resp.corr,resp.rt,resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instructions.started,fixation.started,text.started,key_resp.started,fixation.stopped,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,fix.started,stim.started,resp.started,fix.stopped,trial.stopped,trials.resp.keys,trials.resp.corr,trials.resp.rt,trials.resp.duration,Thank_you.started,text_2.started,Thank_you.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.0059518999987631105,0.01064839999889955,0.5028032999998686,0.5028032999998686,0.5196306999987428,17.911504499999864,space,17.38275590000012,None,,,,,,,,,,,,,,4,001,2025-11-20_00h21.42.151,lexical_decision,,2025.1.1,59.9036629290481,2025-11-20 00h21.46.248871 +0530,
clope,nonword,m,0,0,0,z,0,0.5555555999999342,None,0,0,0,19,17.92612629999894,,,,,,,,,,,17.923135199998796,17.92612629999894,18.41900279999936,18.41900279999936,18.435571099998924,18.986069999999017,z,0,0.5555555999999342,None,,,,4,001,2025-11-20_00h21.42.151,lexical_decision,,2025.1.1,59.9036629290481,2025-11-20 00h21.46.248871 +0530,
drent,nonword,m,1,1,0,m,1,0.9593735999987985,None,0,1,1,11,19.00189489999866,,,,,,,,,,,18.992137899998852,19.00189489999866,19.4855478999998,19.4855478999998,19.50212399999873,20.452647099999012,m,1,0.9593735999987985,None,,,,4,001,2025-11-20_00h21.42.151,lexical_decision,,2025.1.1,59.9036629290481,2025-11-20 00h21.46.248871 +0530,
window,word,z,2,2,0,z,1,1.35729160000119,None,0,2,2,2,20.468231699998796,,,,,,,,,,,20.460198699998728,20.468231699998796,20.952244999998584,20.952244999998584,20.969152799998483,22.31807249999838,z,1,1.35729160000119,None,,,,4,001,2025-11-20_00h21.42.151,lexical_decision,,2025.1.1,59.9036629290481,2025-11-20 00h21.46.248871 +0530,
plome,nonword,m,3,3,0,m,1,1.2357718000002933,None,0,3,3,12,22.3345276,,,,,,,,,,,22.320073399998364,22.3345276,22.818772599999647,22.818772599999647,22.835389299998496,24.06983919999948,m,1,1.2357718000002933,None,,,,4,001,2025-11-20_00h21.42.151,lexical_decision,,2025.1.1,59.9036629290481,2025-11-20 00h21.46.248871 +0530,
smode,nonword,m,4,4,0,m,1,1.2744344000002457,None,0,4,4,17,24.085034699999596,,,,,,,,,,,24.07479279999825,24.085034699999596,24.569203599998218,24.569203599998218,24.58519889999843,25.85204949999934,m,1,1.2744344000002457,None,,,,4,001,2025-11-20_00h21.42.151,lexical_decision,,2025.1.1,59.9036629290481,2025-11-20 00h21.46.248871 +0530,
bottle,word,z,5,5,0,z,1,0.8922987999994803,None,0,5,5,6,25.868456799998967,,,,,,,,,,,25.85648399999991,25.868456799998967,26.352005999999164,26.352005999999164,26.368939499998305,27.253069199998208,z,1,0.8922987999994803,None,,,,4,001,2025-11-20_00h21.42.151,lexical_decision,,2025.1.1,59.9036629290481,2025-11-20 00h21.46.248871 +0530,
brantle,nonword,m,6,6,0,m,1,3.4037019000006694,None,0,6,6,16,27.268505499998355,,,,,,,,,,,27.257658499998797,27.268505499998355,27.768681299998207,27.768681299998207,27.768681299998207,31.185966899998675,m,1,3.4037019000006694,None,,,,4,001,2025-11-20_00h21.42.151,lexical_decision,,2025.1.1,59.9036629290481,2025-11-20 00h21.46.248871 +0530,
pillow,word,z,7,7,0,z,1,1.1187372999993386,None,0,7,7,8,31.201455099999293,,,,,,,,,,,31.190165799998795,31.201455099999293,31.701364799999283,31.701364799999283,31.701364799999283,32.83516039999995,z,1,1.1187372999993386,None,,,,4,001,2025-11-20_00h21.42.151,lexical_decision,,2025.1.1,59.9036629290481,2025-11-20 00h21.46.248871 +0530,
doctor,word,z,8,8,0,z,1,0.7659189999994851,None,0,8,8,3,32.85114389999944,,,,,,,,,,,32.83978729999944,32.85114389999944,33.334162999999535,33.334162999999535,33.35091359999933,34.118718399999125,z,1,0.7659189999994851,None,,,,4,001,2025-11-20_00h21.42.151,lexical_decision,,2025.1.1,59.9036629290481,2025-11-20 00h21.46.248871 +0530,
yellow,word,z,9,9,0,z,1,0.5745382000004611,None,0,9,9,4,34.13432669999929,,,,,,,,,,,34.122105499998725,34.13432669999929,34.61830799999916,34.61830799999916,34.63477519999833,35.20257239999955,z,1,0.5745382000004611,None,,,,4,001,2025-11-20_00h21.42.151,lexical_decision,,2025.1.1,59.9036629290481,2025-11-20 00h21.46.248871 +0530,
market,word,z,10,10,0,z,1,0.45457559999886143,None,0,10,10,5,35.217801199998576,,,,,,,,,,,35.20599029999903,35.217801199998576,35.71813399999883,35.71813399999883,35.71813399999883,36.184960199998386,z,1,0.45457559999886143,None,,,,4,001,2025-11-20_00h21.42.151,lexical_decision,,2025.1.1,59.9036629290481,2025-11-20 00h21.46.248871 +0530,
trallip,nonword,m,11,11,0,m,1,1.3840899000006175,None,0,11,11,18,36.20082619999994,,,,,,,,,,,36.18885819999923,36.20082619999994,36.68444659999841,36.68444659999841,36.70159469999999,38.08564469999874,m,1,1.3840899000006175,None,,,,4,001,2025-11-20_00h21.42.151,lexical_decision,,2025.1.1,59.9036629290481,2025-11-20 00h21.46.248871 +0530,
flirp,nonword,m,12,12,0,m,1,1.695801300000312,None,0,12,12,10,38.100859299998774,,,,,,,,,,,38.08940789999906,38.100859299998774,38.601432499999646,38.601432499999646,38.601432499999646,40.30189379999865,m,1,1.695801300000312,None,,,,4,001,2025-11-20_00h21.42.151,lexical_decision,,2025.1.1,59.9036629290481,2025-11-20 00h21.46.248871 +0530,
apple,word,z,13,13,0,z,1,0.569017799998619,None,0,13,13,0,40.31752039999992,,,,,,,,,,,40.306016599999566,40.31752039999992,40.80092609999883,40.80092609999883,40.817652999998245,41.38550619999842,z,1,0.569017799998619,None,,,,4,001,2025-11-20_00h21.42.151,lexical_decision,,2025.1.1,59.9036629290481,2025-11-20 00h21.46.248871 +0530,
snarp,nonword,m,14,14,0,z,0,2.66880300000048,None,0,14,14,13,41.401031299999886,,,,,,,,,,,41.39144899999883,41.401031299999886,41.90111259999867,41.90111259999867,41.90111259999867,44.58452819999911,z,0,2.66880300000048,None,,,,4,001,2025-11-20_00h21.42.151,lexical_decision,,2025.1.1,59.9036629290481,2025-11-20 00h21.46.248871 +0530,
